,loss
0,3.140617
1,0.03109476
2,0.027463812
3,0.026562972
4,0.026195163
5,0.0260699
6,0.026087405
7,0.026074177
8,0.026101649
9,0.025875647
10,0.024318013
11,0.022082662
12,0.020999806
13,0.021687843
14,0.022463597
15,0.020324098
16,0.019684274
17,0.019960884
18,0.020637456
19,0.024522476
20,0.02009088
21,0.018342301
22,0.017460259
23,0.01789883
24,0.016910268
25,0.019316502
26,0.019756144
27,0.018316
28,0.018075919
29,0.01958905
30,0.016144563
31,0.015380498
32,0.017264575
33,0.016796865
34,0.015012033
35,0.01570061
36,0.015917413
37,0.014203195
38,0.014261201
39,0.014883955
40,0.013661459
41,0.013744966
42,0.013465268
43,0.013661273
44,0.012348756
45,0.0132908765
46,0.014253
47,0.016928397
48,0.013824648
49,0.015629772
50,0.014168182
51,0.011985964
52,0.011853877
53,0.014237275
54,0.016307453
55,0.0146742435
56,0.013702286
57,0.014627157
58,0.013239116
59,0.012417131
60,0.013726633
61,0.013844842
62,0.014934894
63,0.014422561
64,0.012304089
65,0.010542857
66,0.01026879
67,0.012937767
68,0.00923159
69,0.009780072
70,0.00917438
71,0.009400924
72,0.009542294
73,0.009841891
74,0.011406992
75,0.010421448
76,0.0095446855
77,0.014030045
78,0.009739347
79,0.0097790435
80,0.009026509
81,0.008744052
82,0.009309826
83,0.012649353
84,0.010439007
85,0.010557807
86,0.01700731
87,0.010122548
88,0.00974727
89,0.009268802
90,0.008674203
91,0.009773595
92,0.009013238
93,0.009760363
94,0.010004794
95,0.009484489
96,0.009254225
97,0.009869999
98,0.010382545
99,0.009738149
100,0.010066
101,0.008758209
102,0.009283386
103,0.0093281455
104,0.008617105
105,0.009634467
106,0.010238678
107,0.008853531
108,0.01103941
109,0.009945849
110,0.009761446
111,0.009712704
112,0.010127073
113,0.01092492
114,0.00946763
115,0.0093052015
116,0.009372967
117,0.010733861
118,0.010904931
119,0.010505917
120,0.0098599
121,0.009692095
122,0.009086905
123,0.008667342
124,0.009152578
125,0.008944591
126,0.008854979
127,0.011839833
128,0.013761187
129,0.010522005
130,0.010445503
131,0.009734772
132,0.008492756
133,0.008556474
134,0.008208368
135,0.008935007
136,0.00845677
137,0.009561575
138,0.008032173
139,0.008147074
140,0.00876885
141,0.013149417
142,0.010746737
143,0.009008219
144,0.009059496
145,0.009484301
146,0.0091841
147,0.009291038
148,0.009307591
149,0.009134359
150,0.010119667
151,0.009871788
152,0.008910619
153,0.008964707
154,0.009239163
155,0.00973293
156,0.013812985
157,0.009301593
158,0.00917088
159,0.012824129
160,0.011777059
161,0.009313092
162,0.009705953
163,0.0102180615
164,0.009797831
165,0.009203293
166,0.010132003
167,0.0093440395
168,0.009543266
169,0.009571881
170,0.010522906
171,0.011447026
172,0.009111284
173,0.014933472
174,0.012154111
175,0.009196287
176,0.008674573
177,0.009301756
178,0.009224342
179,0.008830911
180,0.009258105
181,0.007525106
182,0.007385877
183,0.011279966
184,0.008537294
185,0.008336729
186,0.007452413
187,0.007901794
188,0.0073782303
189,0.008008805
190,0.008242181
191,0.008346447
192,0.0074578878
193,0.008370051
194,0.00821172
195,0.008443333
196,0.008654461
197,0.00873277
198,0.008281897
199,0.007462271
200,0.007855801
201,0.012713065
202,0.020197717
203,0.015066703
204,0.016365293
205,0.010081766
206,0.010629974
207,0.008712655
208,0.008153119
209,0.007577972
210,0.007950026
211,0.007971956
212,0.007806104
213,0.00737682
214,0.007590062
215,0.0077179056
216,0.0075046667
217,0.0080707185
218,0.009201842
219,0.0076621296
220,0.006944501
221,0.006390445
222,0.0064617707
223,0.0063614594
224,0.006852564
225,0.0075427447
226,0.008868327
227,0.008036048
228,0.0073164687
229,0.0075559583
230,0.013384486
231,0.010561408
232,0.007751994
233,0.007188163
234,0.007130123
235,0.007019669
236,0.007568577
237,0.006781019
238,0.006471574
239,0.0062321704
240,0.005814133
241,0.00572365
242,0.005723722
243,0.00570891
244,0.0060822116
245,0.005991965
246,0.006603966
247,0.0066047916
248,0.006094094
249,0.006679475
250,0.010286326
251,0.013489367
252,0.013209828
253,0.008686303
254,0.00752387
255,0.0066305245
256,0.006479945
257,0.00992639
258,0.0070176166
259,0.006480914
260,0.006591334
261,0.006759453
262,0.0067765657
263,0.0066292877
264,0.008366467
265,0.008667476
266,0.015127165
267,0.011085528
268,0.009403933
269,0.008760692
270,0.0073824255
271,0.007493385
272,0.007457881
273,0.0066481354
274,0.006532226
275,0.0062951664
276,0.005977708
277,0.006494845
278,0.007409194
279,0.0077889888
280,0.0065369746
281,0.007071627
282,0.0071367663
283,0.0074106366
284,0.006712068
285,0.007282562
286,0.007204984
287,0.009281351
288,0.007582074
289,0.007078373
290,0.0073193875
291,0.006743465
292,0.006094317
293,0.012206376
294,0.007466085
295,0.0073262895
296,0.0064940546
297,0.007331583
298,0.006648563
299,0.007311703
300,0.00815696
301,0.0065617436
302,0.0068197194
303,0.0062417537
304,0.0062049096
305,0.005942153
306,0.0062420834
307,0.005691054
308,0.0057690158
309,0.0058136084
310,0.005682207
311,0.0061627626
312,0.009178092
313,0.010609157
314,0.01184199
315,0.008669573
316,0.00808937
317,0.0067625754
318,0.006537718
319,0.0063766143
320,0.0061716517
321,0.0067366883
322,0.006041517
323,0.008512884
324,0.014534623
325,0.011447107
326,0.008340556
327,0.0070131235
328,0.006834124
329,0.006530827
330,0.0065437052
331,0.00803994
332,0.010504449
333,0.0111827655
334,0.012022086
335,0.009294186
336,0.010377736
337,0.007722152
338,0.006891063
339,0.00654743
340,0.006449938
341,0.0059752017
342,0.00615954
