,loss
0,3.9832492
1,0.63451636
2,0.36464974
3,0.046788167
4,0.03457647
5,0.02997024
6,0.027695494
7,0.026296234
8,0.025303995
9,0.024549942
10,0.023904964
11,0.023309417
12,0.022745904
13,0.022342402
14,0.0221291
15,0.02133387
16,0.021792177
17,0.02112199
18,0.02088927
19,0.020470172
20,0.022512589
21,0.020231495
22,0.019815827
23,0.019619944
24,0.019254774
25,0.01901368
26,0.018443743
27,0.01843602
28,0.017969968
29,0.017736547
30,0.017791944
31,0.017137555
32,0.016894713
33,0.016604172
34,0.019840596
35,0.01852213
36,0.016776787
37,0.016655577
38,0.016053777
39,0.015898233
40,0.015698459
41,0.015500988
42,0.015203924
43,0.015164356
44,0.014870623
45,0.01784748
46,0.016164146
47,0.015116711
48,0.015015695
49,0.014966121
50,0.015727147
51,0.015768135
52,0.014598067
53,0.015366751
54,0.01448763
55,0.015271602
56,0.013704598
57,0.013795572
58,0.013740034
59,0.01282915
60,0.016612811
61,0.014482688
62,0.013700822
63,0.014053951
64,0.0131079005
65,0.01229845
66,0.013461595
67,0.015075814
68,0.012819763
69,0.013020973
70,0.013299931
71,0.012496485
72,0.011751622
73,0.012964988
74,0.012635366
75,0.0127023095
76,0.012772009
77,0.011662593
78,0.011253171
79,0.013759557
80,0.013886839
81,0.012708729
82,0.012755365
83,0.012234066
84,0.011859369
85,0.0113525065
86,0.011841296
87,0.012148292
88,0.012447231
89,0.011855931
90,0.012039206
91,0.0123719275
92,0.011216146
93,0.011412212
94,0.0118939895
95,0.012058717
96,0.011915664
97,0.014083657
98,0.012277128
99,0.010799598
100,0.010396074
101,0.010575499
102,0.011839946
103,0.012162855
104,0.010519289
105,0.01150325
106,0.01127122
107,0.011286891
108,0.010545307
109,0.011587586
110,0.011635841
111,0.012347715
112,0.010548222
113,0.010665093
114,0.010576479
115,0.010667163
116,0.011354785
117,0.010283114
118,0.011188152
119,0.0107946815
120,0.0111218095
121,0.010657477
122,0.0107792085
123,0.010921656
124,0.010432226
125,0.010222716
126,0.01021659
127,0.010597422
128,0.011244144
129,0.010611591
130,0.011087256
131,0.016161514
132,0.0120979175
133,0.011261544
134,0.0109686265
135,0.010766091
136,0.010286317
137,0.009503129
138,0.010782033
139,0.011114742
140,0.011615837
141,0.01082468
142,0.011294166
143,0.012144066
144,0.011490231
145,0.011149499
146,0.011530191
147,0.013396639
148,0.0109864045
149,0.009952628
150,0.010532514
151,0.011908164
152,0.011496603
153,0.010670598
154,0.010141491
155,0.01098893
156,0.012781087
157,0.012836549
158,0.011321729
159,0.010619379
160,0.009680809
161,0.010037955
162,0.011015698
163,0.009891322
164,0.01031047
165,0.008328391
166,0.010044571
167,0.00852652
168,0.011452261
169,0.009528928
170,0.009253876
171,0.008672073
172,0.0073355082
173,0.008838354
174,0.007971526
175,0.008582406
176,0.009416206
177,0.008543856
178,0.0084489975
179,0.008833626
180,0.0077155437
181,0.008400094
182,0.0077891406
183,0.00804603
184,0.0067516593
185,0.0066024326
186,0.0067947833
187,0.008118884
188,0.0068841614
189,0.00785741
190,0.008591395
191,0.007853435
192,0.008053888
193,0.0080846995
194,0.00975183
195,0.01057435
196,0.009895474
197,0.008842272
198,0.0077294926
199,0.0084182415
200,0.007511661
201,0.0071507553
202,0.0075939936
203,0.0067340354
204,0.0074855695
205,0.006850874
206,0.0067199287
207,0.006785171
208,0.006003183
209,0.006508837
210,0.0074580978
211,0.0072895586
212,0.0102280425
213,0.0089091575
214,0.009119672
215,0.0078722
216,0.0073002065
217,0.0073820944
218,0.0073453034
219,0.008247993
220,0.008103304
221,0.008249194
222,0.006741686
223,0.006467379
224,0.006713881
225,0.007680115
226,0.006895151
227,0.0065673976
228,0.0059993872
229,0.00652501
230,0.006784742
231,0.008392058
232,0.01571277
233,0.0092598675
234,0.0069075227
235,0.006655487
236,0.0065851402
237,0.0062645674
238,0.008399727
239,0.0069896434
240,0.0061609936
241,0.0066556945
242,0.007665797
243,0.0072200084
244,0.006862917
245,0.0057119923
246,0.0055693914
247,0.0073937858
248,0.005949566
249,0.0068505527
250,0.006320328
251,0.006398605
252,0.0062927064
253,0.005858387
254,0.005720751
255,0.0060320855
256,0.0056226845
257,0.0068207253
258,0.008827354
259,0.007037322
260,0.007038996
261,0.008788418
262,0.0071638096
263,0.0060006604
264,0.0054754564
265,0.006629937
266,0.006329115
267,0.0062572192
268,0.006643285
269,0.0066376966
270,0.007867031
271,0.006907352
272,0.006933974
273,0.0065825
274,0.0068861796
275,0.0063809776
276,0.0061332793
277,0.006529762
278,0.0065513235
279,0.0073932353
280,0.0075539025
281,0.0072385524
282,0.0064526917
283,0.0062976503
284,0.005590662
285,0.006572252
286,0.007895293
287,0.006569859
288,0.0060077226
289,0.006969689
290,0.006300743
291,0.0066546486
292,0.0064938604
293,0.007023409
294,0.0062878397
295,0.005938742
296,0.005882135
297,0.006306476
298,0.011614609
299,0.0073580197
300,0.00724933
301,0.0057583116
302,0.0057941503
303,0.005820172
304,0.0060691885
305,0.0056789955
306,0.0056441706
307,0.0064322655
308,0.007098257
309,0.0057134097
310,0.006042039
311,0.0054387623
312,0.006145688
313,0.0058042184
314,0.008567765
315,0.009244205
316,0.0072408356
317,0.006580287
318,0.005924201
319,0.0060778316
320,0.0051887217
321,0.0103184655
322,0.008435729
323,0.0074005323
324,0.007312812
325,0.0066409437
326,0.0065919384
327,0.006057069
328,0.005301114
329,0.005763575
330,0.005910567
331,0.008460271
332,0.0065670367
