,loss
0,0.03905059
1,0.002547323
2,0.0024961506
3,0.0024711124
4,0.0024601398
5,0.0024591372
6,0.0024554338
7,0.0024490107
8,0.0024530794
9,0.0024474894
10,0.002449717
11,0.00242978
12,0.0024260015
13,0.002423236
14,0.002422078
15,0.0024239398
16,0.0024331808
17,0.0024289573
18,0.0024304704
19,0.0024274653
20,0.0024254308
21,0.0024223223
22,0.0024196745
23,0.002417198
24,0.0024147395
25,0.002412389
26,0.0024100787
27,0.0024061974
28,0.0023902212
29,0.0023841558
30,0.00238029
31,0.0023747226
32,0.0023719082
33,0.0023669116
34,0.0023617456
35,0.0023571276
36,0.0023610902
37,0.0023928245
38,0.002362072
39,0.0023412
40,0.002337821
41,0.0023320036
42,0.0023358564
43,0.0023314913
44,0.0023222985
45,0.0023309854
46,0.002321921
47,0.0023187792
48,0.0023026501
49,0.0022987935
50,0.0023129531
51,0.0023060848
52,0.0023040464
53,0.0022988445
54,0.002297704
55,0.0022914705
56,0.002301678
57,0.0022954857
58,0.0022885802
59,0.0022859685
60,0.0022800807
61,0.0023019386
62,0.0023076849
63,0.002305751
64,0.002301219
65,0.0022904193
66,0.0022898796
67,0.002283619
68,0.0022919266
69,0.0022764457
70,0.0022658976
71,0.0022555753
72,0.002245822
73,0.002236606
74,0.0022096883
75,0.002203318
76,0.0021890262
77,0.0021752703
78,0.0021677592
79,0.0021764028
80,0.0022164844
81,0.002232535
82,0.0022055537
83,0.0021976999
84,0.0022036133
85,0.002207812
86,0.0022125058
87,0.0021956118
88,0.0021838692
89,0.002176818
90,0.0021720033
91,0.0021698454
92,0.0021660305
93,0.0021667872
94,0.0023687936
95,0.0022598475
96,0.0023069358
97,0.002146759
98,0.0021477093
99,0.002149192
100,0.00214241
101,0.0022148143
102,0.0021416305
103,0.0021325538
104,0.0021317871
105,0.00213088
106,0.002129657
107,0.0021295643
108,0.002125774
109,0.002126913
110,0.0021202897
111,0.0021220243
112,0.0021190518
113,0.002118121
114,0.0021122913
115,0.0021092226
116,0.0021097513
117,0.0021056642
118,0.0021152722
119,0.0021036898
120,0.0021054815
121,0.0021196825
122,0.0021162657
123,0.0021005932
124,0.0020982088
125,0.0020989992
126,0.0020925554
127,0.0020930665
128,0.0020937417
129,0.002091579
130,0.0021088885
131,0.0021000486
132,0.002093149
133,0.0020909847
134,0.00208773
135,0.0020837155
136,0.0020819933
137,0.0020793246
138,0.0020791092
139,0.0020821749
140,0.0020779548
141,0.002119948
142,0.0020775683
143,0.0020843605
144,0.0020786608
145,0.0020818368
146,0.0020781555
147,0.0020805525
148,0.0020806717
149,0.0020785849
150,0.0020764004
151,0.002079379
152,0.0020777327
153,0.0020777658
154,0.002076692
155,0.0020808722
156,0.0020737997
157,0.002079108
158,0.0020769022
159,0.0020797264
160,0.0020752565
161,0.0021076482
162,0.0021250697
163,0.0021140885
164,0.0021121406
165,0.0021111113
166,0.002070733
167,0.0021646577
168,0.0021128799
169,0.0021107453
170,0.002070911
171,0.0020734055
172,0.00207446
173,0.0020743017
174,0.0020718023
175,0.0020759616
176,0.00207639
177,0.002078681
178,0.0020783872
179,0.0020798552
180,0.0020743527
181,0.0020746072
182,0.0020728654
183,0.002076842
184,0.002074613
185,0.0020761653
186,0.002073266
187,0.0020764777
188,0.0020732768
189,0.0020761439
190,0.002077082
191,0.0020773725
192,0.002073925
193,0.0020756288
194,0.0020753166
195,0.0021056656
196,0.0021230548
197,0.002114497
198,0.0020710493
199,0.0020728342
200,0.0020726284
201,0.0020726847
202,0.0020705415
203,0.0020718935
204,0.0020710116
205,0.0020720887
206,0.0020744468
207,0.002075407
208,0.0020755753
209,0.0020711184
210,0.0020704383
211,0.0020693939
212,0.0020744526
213,0.002071053
214,0.0020756077
215,0.0020765956
216,0.0020792005
217,0.0020754915
218,0.002075674
219,0.002076546
220,0.0020729909
221,0.0020728617
222,0.0020772435
223,0.002073629
224,0.0020963666
225,0.0021298479
226,0.0021100994
227,0.0021282844
228,0.0021125423
229,0.0021112668
230,0.0021088305
231,0.0021079674
232,0.0021100289
233,0.0021074205
234,0.0021033406
235,0.0021224879
236,0.0021259289
237,0.002118019
238,0.002117448
239,0.0021169446
240,0.0021185193
241,0.0021128221
242,0.0021126003
243,0.0021108242
244,0.0021236134
245,0.0021267915
246,0.0021167446
247,0.0021107327
248,0.002108278
249,0.002108059
250,0.002106071
251,0.0021047138
252,0.002106981
253,0.0021033217
254,0.0021005387
255,0.0021021375
256,0.002100522
257,0.0020954513
258,0.0020942474
259,0.0020951135
260,0.0021136
261,0.0020702812
262,0.002235237
263,0.002231789
264,0.0022304687
265,0.002228722
266,0.002229081
267,0.0022258568
268,0.0022265785
269,0.0022226998
270,0.0022250677
271,0.0022269282
272,0.0022265527
273,0.0022228817
274,0.0022248162
275,0.0022246903
276,0.002223232
277,0.0022263473
278,0.0022200267
279,0.0022267376
280,0.0022247978
281,0.002225911
282,0.0022249727
283,0.0022208858
284,0.0022236381
285,0.0022257352
286,0.0022228393
287,0.0022264868
288,0.002220672
289,0.0022248304
290,0.0022260246
291,0.002224891
292,0.0022216619
293,0.002220447
294,0.0022252903
295,0.0022239299
296,0.0022236707
297,0.00222291
298,0.002219227
299,0.0022278111
300,0.0022185473
301,0.0022269762
302,0.0022223974
303,0.0022205664
304,0.002226578
305,0.0022186986
306,0.0022248402
307,0.0022211012
308,0.0022229105
309,0.0022222172
310,0.0022179321
311,0.0022246472
312,0.0022215915
313,0.0022227135
314,0.0022190674
315,0.0022206923
316,0.0022207408
317,0.0022224453
318,0.0022188076
319,0.0022203994
320,0.0022218034
321,0.0022174767
322,0.002222569
323,0.0022211596
324,0.0022231473
325,0.0022133018
326,0.002223756
327,0.0022172094
328,0.002225841
329,0.0022168325
330,0.0022209012
331,0.002215893
332,0.0022245788
333,0.0022022473
334,0.0021787847
335,0.0021542027
336,0.0021309638
337,0.0021117423
338,0.0021132354
339,0.0021036072
340,0.0020943393
341,0.0020921126
342,0.0021453053
343,0.0021342959
344,0.0021211714
345,0.0021263184
346,0.0021232665
347,0.0021165677
348,0.0021213826
349,0.0021192576
350,0.002119367
351,0.0021222713
352,0.0021168357
353,0.0021196972
354,0.0021190918
355,0.0021871368
356,0.0021781838
357,0.0021523684
358,0.0021299957
359,0.0021135747
360,0.0021000805
361,0.0020898485
362,0.0020886476
363,0.0020786028
364,0.0020811493
365,0.0020777788
366,0.0020816657
367,0.002080358
368,0.002076158
369,0.00207709
370,0.0020799134
371,0.0020755553
372,0.0020821735
373,0.0021735393
374,0.0021050398
375,0.0020869772
376,0.0020825302
377,0.0020803707
378,0.0020995233
379,0.002115639
380,0.002106938
381,0.0020701867
382,0.0020957482
383,0.0021067932
384,0.0020751888
385,0.0021423625
386,0.0021032186
387,0.0021043585
388,0.0021080377
389,0.002101179
390,0.002102463
391,0.0021052524
392,0.0021038486
393,0.002098402
394,0.0021038514
395,0.002159866
396,0.0020775718
397,0.0020686546
398,0.002070898
399,0.0020734076
400,0.0020706838
401,0.002069381
402,0.0020704023
403,0.0020718211
404,0.0020663633
405,0.0020713469
406,0.0020729739
407,0.002068663
408,0.0020699634
409,0.002068234
410,0.002069319
411,0.0020715476
412,0.0020687091
413,0.0020706293
414,0.0020676847
415,0.002096111
416,0.0021145833
417,0.0021056647
418,0.0021023692
419,0.002141387
420,0.0020875318
421,0.0020717732
422,0.0020697503
423,0.0020685033
424,0.002070787
425,0.0020709755
426,0.0020681263
427,0.0020752419
428,0.002064658
429,0.0020701897
430,0.0020705783
431,0.0020687794
432,0.0020713506
433,0.0020698935
434,0.0020686705
435,0.0020701713
436,0.0020668132
437,0.0020830375
438,0.0021225356
439,0.002067065
440,0.0020739767
