,flight plans,flight tracks,weather cubes
0,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_DAL2279.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_DAL2279.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_DAL2279.nc
1,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_DAL1862.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_DAL1862.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_DAL1862.nc
2,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_JBU424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_JBU424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_JBU424.nc
3,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_DAL468A.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_DAL468A.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_DAL468A.nc
4,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_JBU524.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_JBU524.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_JBU524.nc
5,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_DAL2197.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_DAL2197.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_DAL2197.nc
6,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_JBU2024.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_JBU2024.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_JBU2024.nc
7,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_JBU624.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_JBU624.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_JBU624.nc
8,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_DAL1934.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_DAL1934.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_DAL1934.nc
9,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-21/Flight_Plan_KLAX_KJFK_AAL32.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-21/Flight_Track_KLAX_KJFK_AAL32.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-21/Flight_Plan_KLAX_KJFK_AAL32.nc
