,loss
0,0.016402492
1,0.003562265
2,0.003218302
3,0.0030629097
4,0.0029742047
5,0.002891765
6,0.0028192624
7,0.0027597302
8,0.0027113387
9,0.0026712003
10,0.0026369155
11,0.0026068904
12,0.0025798897
13,0.0025546348
14,0.002530159
15,0.0025057932
16,0.002481084
17,0.0024556117
18,0.0024284287
19,0.002398226
20,0.0023638874
21,0.0023235392
22,0.002274918
23,0.0022177852
24,0.0021520033
25,0.0020815297
26,0.0020104798
27,0.0019436505
28,0.0018830708
29,0.0018258326
30,0.00178099
31,0.0017476983
32,0.0017164394
33,0.0016886651
34,0.0016641417
35,0.0016390933
36,0.0016200304
37,0.0016039013
38,0.0015789531
39,0.0015532613
40,0.001523439
41,0.0014813179
42,0.0014655063
43,0.0014650746
44,0.0014928633
45,0.0014742061
46,0.0014522193
47,0.0014412717
48,0.0014350426
49,0.0014295614
50,0.0014216092
51,0.0014164911
52,0.0014102826
53,0.001408016
54,0.0014028224
55,0.0014042691
56,0.0016678257
57,0.0013723727
58,0.0013479602
59,0.0013632152
60,0.0014290959
61,0.0013176887
62,0.0013597814
63,0.0018450515
64,0.0018850404
65,0.0013174218
66,0.001303946
67,0.001314161
68,0.0013256188
69,0.0013378867
70,0.0013828138
71,0.0013437244
72,0.0013123573
73,0.0013211839
74,0.0013336636
75,0.0018453352
76,0.0020558967
77,0.0013444702
78,0.0012803548
79,0.0012868701
80,0.0012941943
81,0.0013012832
82,0.0013072027
83,0.0013119815
84,0.0013153404
85,0.0013176489
86,0.0013266532
87,0.0014006149
88,0.0020031286
89,0.0012778128
90,0.0012555253
91,0.0012586727
92,0.0012641265
93,0.001270291
94,0.0012761859
95,0.0012816553
96,0.0012870989
97,0.0012926841
98,0.0012980881
99,0.0013044499
100,0.001338183
101,0.0013071605
102,0.0012717798
103,0.0012786932
104,0.0012844724
105,0.0012944351
106,0.001395926
107,0.0015127531
108,0.0012294943
109,0.0012305515
110,0.0012351081
111,0.0012404398
112,0.0012458762
113,0.0012511666
114,0.0012562973
115,0.0012617832
116,0.0012675696
117,0.0012744246
118,0.0012832655
119,0.0012933691
120,0.001774727
121,0.002075517
122,0.001300579
123,0.0012358777
124,0.0012363264
125,0.0012425623
126,0.0012491429
127,0.0012559575
128,0.0012614427
129,0.0012661294
130,0.0012689497
131,0.0012708284
132,0.0012735637
133,0.0012811582
134,0.0012930258
135,0.001648013
136,0.0012338771
137,0.0012328579
138,0.0012366982
139,0.0012421232
140,0.0012475547
141,0.0012528561
142,0.0012579252
143,0.0012622972
144,0.0012628252
145,0.0012672644
146,0.0012778491
147,0.001276727
148,0.0012521241
149,0.0012428449
150,0.0012508939
151,0.0012564077
152,0.0012653145
153,0.0013150985
154,0.0012266639
155,0.0012302491
156,0.0012346294
157,0.0012411532
158,0.0012469073
159,0.0012524163
160,0.0012654905
161,0.001763368
162,0.0015306597
163,0.001206536
164,0.001202365
165,0.0012053329
166,0.0012103461
167,0.0012161306
168,0.0012210702
169,0.0012255386
170,0.0012305705
171,0.0012353869
172,0.0012394913
173,0.0012424911
174,0.0012448388
175,0.0012496128
176,0.0012470648
177,0.0012276135
178,0.0012232161
179,0.0012280453
180,0.0012319898
181,0.0012347747
182,0.0012358266
183,0.0012478027
184,0.0013085126
185,0.0012119557
186,0.0012037691
187,0.0012062453
188,0.0012087752
189,0.0012119113
190,0.0012158604
191,0.0012193235
192,0.0012211013
193,0.0012227306
194,0.0012236023
195,0.0012234633
196,0.0012220268
197,0.0012218738
198,0.0012199405
199,0.0012180845
200,0.0012160074
201,0.0012156153
202,0.0012154097
203,0.0012113383
204,0.0012132815
205,0.0012089894
206,0.0012115143
207,0.0012074547
208,0.0012107842
209,0.0012056892
210,0.0012072007
211,0.0012059201
212,0.0012077561
213,0.0012050485
214,0.001205579
215,0.0012040325
216,0.001211809
217,0.0012029093
218,0.0012006364
219,0.001203425
220,0.0012012805
221,0.0012056637
222,0.0012006856
223,0.0011988659
224,0.0012008355
225,0.0011987056
226,0.0012102025
227,0.0011976805
228,0.0011955627
229,0.0012025824
230,0.0011971141
231,0.0011960382
232,0.001197463
233,0.0011969572
234,0.0011967339
235,0.0016524704
236,0.0013189806
237,0.0012611786
238,0.0012406028
239,0.0012288354
240,0.0012201433
241,0.001214156
242,0.0012089461
243,0.0012045499
244,0.001200723
245,0.00119751
246,0.0011946803
247,0.001193138
248,0.0011922505
249,0.0011915894
250,0.0011914283
251,0.0011915712
252,0.0011920271
253,0.0011921478
254,0.0011935775
255,0.0016069984
256,0.0014236693
257,0.0012530772
258,0.0011982197
259,0.0012051866
260,0.0012065432
261,0.0011983884
262,0.0012027118
263,0.0012012185
264,0.0012060219
265,0.0012047001
266,0.001205727
267,0.0012034579
268,0.001200352
269,0.0011966188
270,0.0012058265
271,0.0012046332
272,0.001199279
273,0.0011984945
274,0.0011953538
275,0.0011924842
276,0.0011932424
277,0.0011927397
278,0.0011935433
279,0.0013621849
280,0.0011908547
281,0.0011887712
282,0.0011876886
283,0.001189014
284,0.0011901283
285,0.0011906485
286,0.0011903831
287,0.0011901157
288,0.0011898964
289,0.0011891522
290,0.0011880425
291,0.0011874588
292,0.0011870988
293,0.0011890983
294,0.0011885075
295,0.0011873458
296,0.0011870668
297,0.001185971
298,0.0011857881
299,0.0011856129
300,0.0011851127
301,0.0011870433
302,0.0011846393
303,0.0011883946
304,0.0011913567
305,0.0011847498
306,0.0011808865
307,0.0011839501
308,0.0011841878
309,0.0011777886
310,0.0011818464
311,0.0011772439
312,0.0011796865
313,0.0011808624
314,0.0011812954
315,0.0021001669
316,0.0012595305
317,0.0012175136
318,0.0012086796
319,0.0012003316
320,0.0011956966
321,0.0011909627
322,0.0011883598
323,0.0011864793
324,0.0011854707
325,0.0011840172
326,0.0011825108
327,0.0011810614
328,0.0014560913
329,0.0012306694
330,0.0012028522
331,0.0011893786
332,0.0011839691
333,0.0011803102
334,0.0011776213
335,0.0011784054
336,0.0011781609
337,0.0011749867
338,0.0011678647
339,0.0011700562
340,0.001164019
341,0.0011711452
342,0.001165406
343,0.001168875
344,0.0011668486
345,0.001164715
346,0.0011682195
347,0.0011920619
348,0.0011694907
349,0.0011705523
350,0.0011823507
351,0.001573714
352,0.0012200826
