,loss
0,0.29154354
1,0.057477035
2,0.01100381
3,0.0063763917
4,0.0051204385
5,0.004393351
6,0.003967203
7,0.003591178
8,0.0033693574
9,0.003220429
10,0.0031134603
11,0.003033096
12,0.002975594
13,0.0029217137
14,0.0028801046
15,0.002848545
16,0.002837689
17,0.0028015436
18,0.00278171
19,0.002763967
20,0.0027964637
21,0.0027452093
22,0.0027322466
23,0.0027338234
24,0.0029348354
25,0.0027107038
26,0.0027196913
27,0.0027240324
28,0.002709724
29,0.0026971714
30,0.0026914694
31,0.0026879164
32,0.0026775897
33,0.00267391
34,0.0026734266
35,0.0026734227
36,0.0026811603
37,0.002669376
38,0.0026586896
39,0.0026590708
40,0.0026541762
41,0.0026537378
42,0.0026658468
43,0.002957153
44,0.0026682578
45,0.0026575157
46,0.0026515932
47,0.002648371
48,0.002642556
49,0.0026385244
50,0.0026336333
51,0.0026307444
52,0.0026292345
53,0.0026261546
54,0.002621694
55,0.0026177354
56,0.002620623
57,0.0026135198
58,0.0026125447
59,0.0026092108
60,0.0026105656
61,0.0026090932
62,0.002608912
63,0.0026054715
64,0.0026049027
65,0.0026021104
66,0.002604212
67,0.0025980894
68,0.0025959124
69,0.002591468
70,0.0025993877
71,0.002591638
72,0.0025868516
73,0.0025881438
74,0.0025899918
75,0.0025851722
76,0.0025811824
77,0.002580109
78,0.002576915
79,0.002576902
80,0.0025752368
81,0.0025873436
82,0.0025861748
83,0.002569794
84,0.0025812483
85,0.002571797
86,0.0025675492
87,0.002564633
88,0.0025624582
89,0.002561505
90,0.0025594514
91,0.0025688
92,0.002556655
93,0.0025859347
94,0.002564313
95,0.0025582563
96,0.0025526031
97,0.002545093
98,0.0025533217
99,0.0025461584
100,0.0025460073
101,0.0025485153
102,0.0025453107
103,0.0025427723
104,0.0025369101
105,0.002535621
106,0.002537389
107,0.0025341054
108,0.002531364
109,0.0025293704
110,0.0025278737
111,0.002522372
112,0.0025307534
113,0.0025251927
114,0.0025209852
115,0.0025197875
116,0.0025170872
117,0.002520712
118,0.0025125588
119,0.0025115537
120,0.0025154697
121,0.002513323
122,0.0025094459
123,0.0025091034
124,0.0025084498
125,0.0025063748
126,0.0025107742
127,0.0025050156
128,0.0025036982
129,0.002504343
130,0.0025022738
131,0.0025001063
132,0.0024999839
133,0.0025019976
134,0.002494962
135,0.0024974104
136,0.0024963121
137,0.002497875
138,0.0024922627
139,0.002493583
140,0.002491395
141,0.0024894318
142,0.0024914618
143,0.002488194
144,0.0024899505
145,0.0024865272
146,0.0024881163
147,0.0024847758
148,0.0024860208
149,0.0024842457
150,0.0024857873
151,0.0024842564
152,0.0024816487
153,0.0024815656
154,0.0024807295
155,0.0024809157
156,0.0024792235
157,0.002477498
158,0.0024776529
159,0.0024851128
160,0.00247514
161,0.0024739886
162,0.0024738554
163,0.0024721916
164,0.0024707236
165,0.0024704933
166,0.0024690486
167,0.0024688037
168,0.0024675517
169,0.002466809
170,0.0024657287
171,0.0024646164
172,0.0024640826
173,0.0024628306
174,0.0024626744
175,0.0025090738
176,0.0024612034
177,0.002459729
178,0.0024583368
179,0.0024639654
180,0.0024588294
181,0.0024579004
182,0.0024568737
183,0.0024555204
184,0.0024639068
185,0.002454603
186,0.002452674
187,0.0024590848
188,0.0024519013
189,0.0024510897
190,0.0024557
191,0.0024502052
192,0.00245259
193,0.0024491125
194,0.002455014
195,0.0024491837
196,0.0024479653
197,0.002450857
198,0.0024465919
199,0.0024448931
200,0.0024452186
201,0.0024449138
202,0.0024451546
203,0.0024443106
204,0.0024462286
205,0.0024431893
206,0.002452928
207,0.0024412058
208,0.0024398821
209,0.0024490252
210,0.0024392186
211,0.0024413916
212,0.002440804
213,0.0024393306
214,0.0024360218
215,0.0024500492
216,0.0024336518
217,0.002433412
218,0.0024332646
219,0.0024426463
220,0.0024331324
221,0.0024309838
222,0.002442728
223,0.0024312378
224,0.0024298716
225,0.002435676
226,0.0024287326
227,0.0024301829
228,0.002427925
229,0.0024321396
230,0.0024271428
231,0.0024288269
232,0.0024248883
233,0.0024255079
234,0.0024234524
235,0.0024286108
236,0.0024244536
237,0.0024283538
238,0.0024220946
239,0.0024228077
240,0.0024202154
241,0.0024236164
242,0.0024186266
243,0.0024217544
244,0.002417463
245,0.002421261
246,0.0024170675
247,0.002417874
248,0.002415684
249,0.002418552
250,0.0024147774
251,0.0024158864
252,0.0024128535
253,0.00241297
254,0.002415061
255,0.002411515
256,0.0024163788
257,0.0024109317
258,0.0024099178
259,0.0024118556
260,0.002408392
261,0.0024078782
262,0.002409759
263,0.0024061953
264,0.0024103248
265,0.0024064276
266,0.002407511
267,0.0024060304
268,0.0024047291
269,0.0024052293
270,0.0024031627
271,0.0024076288
272,0.0024028472
273,0.0024099774
274,0.0024032649
275,0.0024026774
276,0.0024015736
277,0.002401131
278,0.0024011864
279,0.0024001163
280,0.0024027103
281,0.0024002446
282,0.0024005845
283,0.0024028316
284,0.0024022607
285,0.0024008912
286,0.0024000497
287,0.002399024
288,0.002398399
289,0.002397413
290,0.002396498
