,loss
0,0.020931678
1,0.0044111963
2,0.0036730275
3,0.0034156612
4,0.0032755164
5,0.0031805714
6,0.0031029908
7,0.0030350483
8,0.0029777205
9,0.002926076
10,0.002871701
11,0.002823779
12,0.0027831974
13,0.002747422
14,0.002715058
15,0.0026853743
16,0.002657919
17,0.0026320368
18,0.0026068971
19,0.002581974
20,0.002556357
21,0.0025293713
22,0.002500029
23,0.0024674907
24,0.00243085
25,0.0023937474
26,0.002379165
27,0.0022844675
28,0.0023410975
29,0.0020227707
30,0.0020332711
31,0.0022130676
32,0.0020241996
33,0.0017854333
34,0.0018757387
35,0.0018179967
36,0.0016676018
37,0.0015458479
38,0.0019499923
39,0.0015894377
40,0.0015336165
41,0.0017664974
42,0.0015228523
43,0.0016368212
44,0.0015682508
45,0.0015919808
46,0.0015564308
47,0.0015600459
48,0.0015444964
49,0.0015382399
50,0.0015299896
51,0.0015233795
52,0.001517007
53,0.001511036
54,0.0015052266
55,0.0014995257
56,0.0014938733
57,0.0014882436
58,0.0014826134
59,0.0014769803
60,0.0014713431
61,0.0014657056
62,0.0014600805
63,0.0014544845
64,0.0014489333
65,0.0014434468
66,0.0014380394
67,0.0014327283
68,0.0014275261
69,0.001422444
70,0.0014174895
71,0.0014126704
72,0.0014081418
73,0.0014036079
74,0.0013991015
75,0.0013947411
76,0.0013904942
77,0.0013863439
78,0.0013822836
79,0.0013783032
80,0.0013743978
81,0.0013705645
82,0.0013667876
83,0.0013630314
84,0.0013592858
85,0.0013555514
86,0.00135182
87,0.0013480731
88,0.0013442964
89,0.001340471
90,0.0013365824
91,0.0013326149
92,0.0013285445
93,0.0013243363
94,0.0013199745
95,0.0013155111
96,0.0013111263
97,0.0013070842
98,0.0013035547
99,0.0013005222
100,0.0012978872
101,0.0012955123
102,0.0012932834
103,0.001291131
104,0.0012890472
105,0.0012870507
106,0.0012851632
107,0.0012833815
108,0.0012816814
109,0.0012800345
110,0.0012784242
111,0.0012768485
112,0.0012753138
113,0.0012738277
114,0.0012723883
115,0.0012710007
116,0.0012696575
117,0.0012683287
118,0.0012670206
119,0.0012657546
120,0.0012645198
121,0.0012633366
122,0.0012621997
123,0.0012610977
124,0.0012600227
125,0.0012589645
126,0.0012579063
127,0.0012568469
128,0.001255784
129,0.0012547249
130,0.0012536828
131,0.0012526733
132,0.0012516953
133,0.0012507503
134,0.0012498328
135,0.0012489398
136,0.001248053
137,0.0012471699
138,0.0012462718
139,0.0012453757
140,0.001244492
141,0.001243613
142,0.0012427423
143,0.0012418821
144,0.0012410287
145,0.0012401836
146,0.0012393469
147,0.0012385215
148,0.0012377064
149,0.0012369289
150,0.0012361992
151,0.0012355209
152,0.0012348494
153,0.0012341848
154,0.0012334785
155,0.0012328196
156,0.0012319705
157,0.0012321023
158,0.0012301533
159,0.0012306721
160,0.0012294764
161,0.0012289933
162,0.0012277787
163,0.0012273068
164,0.0012269571
165,0.0012265006
166,0.001225899
167,0.0012253098
168,0.0012247757
169,0.0012242624
170,0.001223754
171,0.0012232477
172,0.0012227388
173,0.0012222342
174,0.0012217304
175,0.0012212341
176,0.0012207354
177,0.0012202443
178,0.0012197549
179,0.001219258
180,0.0012188457
181,0.0012181844
182,0.001218354
183,0.0012173747
184,0.0012194024
185,0.001305588
186,0.0017097621
187,0.0012192293
188,0.0012021048
189,0.0011880825
190,0.0011886063
191,0.0011922645
192,0.0012088517
193,0.0013166285
194,0.001202765
195,0.0012772313
196,0.0012234811
197,0.0011957982
198,0.0013567754
199,0.0012037954
200,0.0012408622
201,0.001195438
202,0.0011942188
203,0.0014388585
204,0.0012085263
205,0.0013206952
206,0.0011948368
207,0.00120493
208,0.0012929406
209,0.0011922693
210,0.0011990318
211,0.0013088875
212,0.0011965241
213,0.001229793
214,0.0012170423
215,0.0012117168
216,0.0012202484
217,0.0012457221
218,0.0011975722
219,0.00119527
220,0.0012898357
221,0.0011972482
222,0.0012033351
223,0.0012010217
224,0.0011989619
225,0.0012271606
226,0.0012088548
227,0.0012134247
228,0.0012059726
229,0.0012067831
230,0.0012031423
231,0.001208399
232,0.001198218
233,0.001209796
234,0.0011980885
235,0.0012121529
236,0.00119301
237,0.0011917731
238,0.0012388818
239,0.001194868
240,0.0012014019
241,0.0011933235
242,0.0011893027
243,0.0012065666
244,0.0012032771
245,0.0011990744
246,0.0011970691
247,0.0011897712
248,0.0011981874
249,0.001201593
250,0.0011941381
251,0.0011866712
252,0.0011899614
253,0.0012189203
254,0.0011917816
255,0.0011847704
256,0.0011873887
257,0.0012115632
258,0.0011914041
259,0.0011838783
260,0.0011861199
261,0.0012073448
262,0.0011900805
263,0.0011829484
264,0.0011845134
265,0.0012051365
266,0.0011883845
267,0.0011819361
268,0.001183158
269,0.0012027468
270,0.0011871133
271,0.0011808381
272,0.0011816813
273,0.0012017235
274,0.0011858069
275,0.0011796651
276,0.0011801339
277,0.0012001534
278,0.0011847757
279,0.0011784558
280,0.0011783448
281,0.0011993935
282,0.0011842574
283,0.001177156
284,0.001176247
285,0.0011971686
286,0.0011834526
287,0.0011758852
288,0.0011746365
289,0.0011948982
290,0.001182086
291,0.001174673
292,0.0011733023
293,0.0011929282
294,0.001180691
295,0.0011734208
296,0.001171865
297,0.0011906552
298,0.0011791206
299,0.0011721002
300,0.0011705172
301,0.0011882945
302,0.0011775193
303,0.0011707544
304,0.0011691044
305,0.0011856555
306,0.0011760733
307,0.0011694927
308,0.0011676509
309,0.0011825989
310,0.0011751443
311,0.0011685699
312,0.0011661849
313,0.0011791424
314,0.001175333
315,0.0011682104
316,0.0011646325
317,0.0011752439
318,0.0011749264
319,0.0011678766
320,0.0011635934
321,0.0011709419
322,0.0011731228
323,0.0011675176
324,0.0011631487
325,0.001166113
326,0.0011729023
327,0.0011678273
328,0.0011633286
329,0.0011615899
330,0.0011885947
331,0.0011738556
332,0.001160146
333,0.001162158
334,0.0011692721
335,0.001168131
336,0.0011652658
337,0.0011596951
338,0.001160218
339,0.0011662799
340,0.0011669447
341,0.0011655764
342,0.0011606943
343,0.0011616873
344,0.0011612928
345,0.0011607108
346,0.0011641937
347,0.0011603753
348,0.0011670693
349,0.0011642354
350,0.0011573716
351,0.0011565047
352,0.001167489
353,0.0011714076
354,0.0011558834
355,0.0011562853
356,0.0011557823
357,0.0011630072
358,0.0011658889
359,0.0011650322
360,0.0011623509
361,0.0011590158
362,0.0011574222
363,0.0011616867
364,0.0011594325
365,0.001159657
366,0.0011571579
367,0.001154516
368,0.0011638341
369,0.0011625635
370,0.0011538817
371,0.001150891
372,0.00114891
373,0.0011502594
374,0.0011639617
375,0.0011573534
376,0.0011807078
377,0.001171976
378,0.0011571145
379,0.0011527226
380,0.001151888
381,0.0011659849
382,0.0011543952
383,0.0011481652
384,0.001137903
385,0.0011373443
386,0.0011376959
387,0.0011379191
388,0.0011380435
389,0.0011381058
390,0.0011381038
391,0.0011380455
392,0.0011379444
393,0.0011378138
394,0.0011376636
395,0.0011375018
396,0.0011373318
397,0.0011371529
398,0.001136959
399,0.0011367437
400,0.0011365053
401,0.0011362453
402,0.0011359699
403,0.0011356766
404,0.0011353743
405,0.0011350343
406,0.0011347488
407,0.0011462267
408,0.0011343954
409,0.0011340667
410,0.0011346885
411,0.0011339566
412,0.0011337647
413,0.0011330465
414,0.0011326107
415,0.0011321785
416,0.0011314583
417,0.0011310992
418,0.001636568
419,0.0013819496
420,0.0011904639
421,0.0011546805
422,0.0011529587
423,0.0011536486
