,loss
0,0.033533882
1,0.0049407366
2,0.004159619
3,0.003846107
4,0.0035675813
5,0.0032846965
6,0.002978465
7,0.002651242
8,0.002337243
9,0.0021209172
10,0.0019609851
11,0.001825158
12,0.001735999
13,0.001684734
14,0.0016499432
15,0.0016224629
16,0.0016000107
17,0.0015808779
18,0.0015643857
19,0.0015500755
20,0.0015373146
21,0.0015263248
22,0.0015161892
23,0.0015071486
24,0.0014992066
25,0.0014917749
26,0.0014851463
27,0.0014788958
28,0.0014732
29,0.0014678444
30,0.0014628873
31,0.001458205
32,0.0014538219
33,0.0014496539
34,0.001445718
35,0.0014419205
36,0.0014383323
37,0.0014348946
38,0.0014315922
39,0.0014284052
40,0.0014253759
41,0.0014224432
42,0.0014196412
43,0.0014169683
44,0.0014143932
45,0.0014119525
46,0.0014096005
47,0.0014073882
48,0.0014051828
49,0.0014030958
50,0.0014010901
51,0.001399152
52,0.0013973028
53,0.0013955657
54,0.0013937979
55,0.0013921371
56,0.0013905414
57,0.0013888897
58,0.0013873732
59,0.0013858628
60,0.0013843658
61,0.0013829431
62,0.0013814841
63,0.0013801521
64,0.0013788809
65,0.0013775799
66,0.001376363
67,0.0013751064
68,0.001373897
69,0.0013726926
70,0.0013714895
71,0.0013703936
72,0.001369181
73,0.0013679969
74,0.0013666608
75,0.0013654236
76,0.0013642166
77,0.0013630061
78,0.0013617234
79,0.0013604453
80,0.0013591254
81,0.0013578874
82,0.0013565365
83,0.0013552101
84,0.0013537804
85,0.001352533
86,0.0013512167
87,0.0013501173
88,0.0013487698
89,0.0013475836
90,0.0013464247
91,0.0013452057
92,0.001344022
93,0.0013427848
94,0.0013415749
95,0.001340361
96,0.0013391394
97,0.001337923
98,0.0013367428
99,0.0013354823
100,0.0013340382
101,0.0013328128
102,0.0013314756
103,0.0013302922
104,0.0013288464
105,0.0013275446
106,0.0013262994
107,0.0013247824
108,0.0013237537
109,0.001322485
110,0.0013210981
111,0.0013193991
112,0.001318177
113,0.0013165517
114,0.001314772
115,0.001313258
116,0.0013116876
117,0.0013106803
118,0.0013093957
119,0.0013078267
120,0.001306585
121,0.0013050317
122,0.0013037892
123,0.0013022352
124,0.0013010498
125,0.0012997565
126,0.0012978354
127,0.0012966378
128,0.0012954387
129,0.0012937422
130,0.0012915861
131,0.0012917954
132,0.0012901415
133,0.0012890836
134,0.0012876985
135,0.00128634
136,0.0012851779
137,0.0012840886
138,0.0012825064
139,0.001280607
140,0.0012789434
141,0.0012768556
142,0.0012751174
143,0.0012735692
144,0.001272138
145,0.0012703589
146,0.0012679708
147,0.0012661305
148,0.001263973
149,0.0012620214
150,0.0012599686
151,0.0012583609
152,0.0012565724
153,0.0012543598
154,0.0012524911
155,0.0012508444
156,0.0012494815
157,0.0012478137
158,0.001246441
159,0.0012449613
160,0.001244058
161,0.0012412062
162,0.0012404806
163,0.001238705
164,0.0012373658
165,0.0012358623
166,0.0012340824
167,0.0012330263
168,0.0012310975
169,0.001229465
170,0.0012275971
171,0.001226618
172,0.0012236988
173,0.0012232525
174,0.0012208509
175,0.0012196532
176,0.0012178068
177,0.0012157507
178,0.0012145413
179,0.0012131841
180,0.0012110187
181,0.0012095739
182,0.001207876
183,0.0012067688
184,0.0012051713
185,0.0012039982
186,0.0012021852
187,0.0012018151
188,0.0012013201
189,0.0012001602
190,0.0011987161
191,0.0011974195
192,0.0011966013
193,0.0011956063
194,0.0011949466
195,0.0011942192
196,0.0011931811
197,0.0011920377
198,0.001190403
199,0.0011897457
200,0.0011888349
201,0.0011878866
202,0.0011869171
203,0.0011860161
204,0.0011840711
205,0.0011835647
206,0.0011826728
207,0.0011813869
208,0.0011798289
209,0.0011782225
210,0.0011778746
211,0.0011759158
212,0.0011752538
213,0.0011740858
214,0.0011724763
215,0.0011715034
216,0.0011694769
217,0.0011679846
218,0.0011662056
219,0.0011645341
220,0.001163359
221,0.0011611686
222,0.0011600924
223,0.001157441
224,0.0011564288
225,0.0011554112
226,0.0011529134
227,0.00115309
228,0.0011508082
229,0.001150599
230,0.0011471572
231,0.001147184
232,0.001144767
233,0.0011431898
234,0.0011421179
235,0.0011415556
236,0.0011396471
237,0.0011390416
238,0.0011369159
239,0.0011369894
240,0.0011346403
241,0.0011341866
242,0.0011317208
243,0.0011313906
244,0.0011294849
245,0.0011281656
246,0.0011275717
247,0.0011258807
248,0.0011242522
249,0.001124342
250,0.0011220172
251,0.0011211131
252,0.001118823
253,0.0011189674
254,0.0011166987
255,0.0011164881
256,0.0011144968
257,0.0011130462
258,0.0011128291
259,0.0011106046
260,0.0011095161
261,0.0011086495
262,0.0011076792
263,0.0011059094
264,0.0011058915
265,0.0011036999
266,0.00110302
267,0.0011022884
268,0.0010999398
269,0.0010987913
270,0.0010976833
271,0.0010962477
272,0.0010949597
273,0.0010929711
274,0.0010935949
275,0.0010897284
276,0.0010890211
277,0.0010874749
278,0.0010862803
279,0.0010851678
280,0.0010826081
281,0.0010814632
282,0.0010793855
283,0.0010784182
284,0.0010764858
285,0.0010752187
286,0.0010738358
287,0.0010717285
288,0.0010709258
289,0.0010697071
290,0.0010682204
291,0.0010672417
292,0.0010661432
293,0.0010653291
294,0.0010639627
295,0.0010626222
296,0.0010616095
297,0.0010610956
298,0.0010598752
299,0.0010590072
300,0.0010579008
301,0.0010574212
302,0.001056316
303,0.0010556068
304,0.0010543728
305,0.0010532517
306,0.0010522386
307,0.001051996
308,0.0010502551
309,0.0010496215
310,0.0010485398
311,0.0010476322
312,0.0010468406
313,0.0010455566
314,0.0010444112
315,0.0010435276
316,0.0010428447
317,0.0010417884
318,0.0010407295
319,0.0010402624
320,0.0010399726
321,0.0010395374
322,0.0010404306
323,0.0010408686
324,0.001041263
325,0.00104044
326,0.001039132
327,0.0010370332
328,0.0010348359
329,0.0010330378
330,0.0010307782
331,0.001028853
332,0.0010270881
333,0.0010288883
334,0.0010309992
335,0.0010277199
336,0.0010274738
337,0.0010265243
338,0.001023931
339,0.001022105
340,0.0010209145
341,0.0010307349
342,0.001027046
343,0.0010269382
344,0.0010347608
345,0.0010337956
346,0.0010284187
347,0.0010229286
348,0.0010206152
349,0.0010192012
350,0.0010178932
351,0.001016765
352,0.0010143026
353,0.0010093423
354,0.0010109355
355,0.0010056562
356,0.0010045847
357,0.0010021483
358,0.0010017133
359,0.0010010297
360,0.0010001381
361,0.0009967783
362,0.0009972594
363,0.0009950835
364,0.0009938093
365,0.0009939232
366,0.0009935235
367,0.0009944639
368,0.0009927
369,0.0009905563
370,0.0009920296
371,0.0010103306
372,0.0010063353
373,0.0010111178
374,0.0009972168
375,0.0009866921
376,0.0009858689
377,0.0009847296
378,0.0010307039
379,0.0009762495
380,0.0009702078
381,0.00097425544
382,0.000991053
383,0.00097052805
384,0.0009767036
385,0.0009847911
386,0.0009707264
387,0.00096218725
388,0.00096557225
389,0.00097546965
390,0.0009754025
391,0.0009630695
392,0.0009690811
393,0.000970226
394,0.0010042578
395,0.00097601337
396,0.00096131646
397,0.00096104754
398,0.00095904915
399,0.0009620092
400,0.00097451033
401,0.0009633994
402,0.000952315
403,0.0009658968
404,0.0009712439
405,0.0009527585
406,0.0009516562
407,0.0009577107
408,0.0009757419
409,0.00095861265
410,0.0009589572
411,0.0009680697
412,0.00096283644
413,0.0009560932
414,0.0009460298
415,0.0009441447
416,0.0009404116
417,0.0009460169
418,0.0009471506
419,0.0009453839
420,0.00095094496
421,0.0009466748
422,0.000940416
423,0.00093993265
424,0.00094631227
425,0.0009550399
426,0.00094030943
427,0.0009361831
428,0.0009342045
429,0.0009363113
430,0.0009367987
431,0.0009266057
432,0.00092877087
433,0.000922755
434,0.0009270982
435,0.0009361393
436,0.0009297385
437,0.00091257755
438,0.00091549667
439,0.0009205985
440,0.00093723857
441,0.0009233432
442,0.0009066288
443,0.00090271403
444,0.00089889986
445,0.0008974558
446,0.00089984556
447,0.0010246793
448,0.0011713196
449,0.0010351692
450,0.00096080825
451,0.0009021627
452,0.00088845677
453,0.00088312395
454,0.00088000007
455,0.00087669893
456,0.00087846036
457,0.0008737458
458,0.0008727271
459,0.000873186
460,0.00086661504
461,0.00088313787
462,0.000871348
463,0.0009037872
464,0.00086215686
465,0.00086254836
466,0.00086020236
467,0.00086879655
468,0.00086064544
469,0.00085507776
470,0.00085542747
471,0.0008490597
472,0.0008468158
473,0.00084791717
474,0.00086260954
475,0.00084807194
476,0.00094452046
477,0.0008567424
478,0.0008396741
479,0.0008367788
480,0.00084033236
481,0.0008516434
482,0.0008393725
483,0.0008353329
484,0.00082915265
485,0.00081872893
486,0.0008291638
487,0.00082552567
488,0.00082074845
489,0.0008257246
490,0.000823966
491,0.0008262158
492,0.00081949733
493,0.00083043525
494,0.0008063306
495,0.0008142144
496,0.0008242095
497,0.00082403264
498,0.00082235836
499,0.0008149281
