,loss
0,0.18772821
1,0.013501585
2,0.006868486
3,0.005874342
4,0.005668975
5,0.005070426
6,0.004773381
7,0.0045598648
8,0.004372305
9,0.0041839294
10,0.0039867787
11,0.0037833145
12,0.003611863
13,0.0033743358
14,0.0032070675
15,0.003145655
16,0.0030277544
17,0.0029598575
18,0.0029178574
19,0.002886883
20,0.002861758
21,0.0028399036
22,0.00282092
23,0.0028043247
24,0.0027899505
25,0.0027774444
26,0.0030015667
27,0.0035317745
28,0.0034628673
29,0.003417209
30,0.0033765023
31,0.0033320847
32,0.003281193
33,0.0032284781
34,0.003181682
35,0.003138996
36,0.0030978569
37,0.00305774
38,0.0030178009
39,0.0029773081
40,0.0029336084
41,0.002891497
42,0.0028512396
43,0.0027559842
44,0.002699268
45,0.0026858896
46,0.0026762888
47,0.0026703367
48,0.002663722
49,0.0026610736
50,0.0026581474
51,0.0026548652
52,0.0026529138
53,0.002650993
54,0.0028308742
55,0.0026532484
56,0.002647018
57,0.0026445175
58,0.0026426418
59,0.0026409207
60,0.0026393125
61,0.0026381195
62,0.0026367763
63,0.002635633
64,0.0026344766
65,0.00263319
66,0.002632102
67,0.0026310114
68,0.0026297632
69,0.0026286799
70,0.0026276526
71,0.0026266386
72,0.002625676
73,0.0026246116
74,0.0026232812
75,0.0026219136
76,0.0026202681
77,0.0026187473
78,0.0026170693
79,0.0026153948
80,0.0026135568
81,0.002612201
82,0.0026108637
83,0.0026098096
84,0.0026089847
85,0.0026078345
86,0.0026067975
87,0.0026058154
88,0.0026049241
89,0.0026042073
90,0.0026033046
91,0.0026025255
92,0.002601575
93,0.0026006834
94,0.002599757
95,0.0025988526
96,0.002597967
97,0.002597085
98,0.0025963066
99,0.002595564
100,0.0025946512
101,0.0025939709
102,0.002593018
103,0.0025923005
104,0.0025915615
105,0.0025907466
106,0.0025899229
107,0.0025890016
108,0.002588176
109,0.0025873904
110,0.0025867447
111,0.002585736
112,0.002585014
113,0.002584158
114,0.0025833577
115,0.0025826239
116,0.0025818194
117,0.0025807875
118,0.002580139
119,0.002579206
120,0.0025784515
121,0.002577538
122,0.002576414
123,0.0025756934
124,0.0025746808
125,0.0025736073
126,0.002572685
127,0.0025720773
128,0.0025708189
129,0.0025697174
130,0.0025691153
131,0.0025682086
132,0.0025676743
133,0.0025665334
134,0.0025656146
135,0.002565021
136,0.0025641632
137,0.0025634328
138,0.0025622782
139,0.0025615236
140,0.00256036
141,0.002559594
142,0.0025589727
143,0.0025578311
144,0.0025570595
145,0.00255634
146,0.0025560393
147,0.0025544316
148,0.002554555
149,0.0025536504
150,0.0025522893
151,0.002551915
152,0.0025507822
153,0.0025500518
154,0.0025495838
155,0.0025484555
156,0.0025470755
157,0.0025464054
158,0.0025455207
159,0.002544509
160,0.002543274
161,0.002543007
162,0.0025421632
163,0.002541949
164,0.0025413956
165,0.0025398957
166,0.0025389725
167,0.002538328
168,0.0025378193
169,0.0025366622
170,0.0025341653
171,0.00253179
172,0.0025305364
173,0.0025291983
174,0.0025282607
175,0.0025272062
176,0.0025278367
177,0.0025294751
178,0.0025247661
179,0.0025251908
180,0.0025261326
181,0.0025234912
182,0.0025234504
183,0.0025257803
184,0.0025210588
185,0.002519365
186,0.0025185684
187,0.0025194415
188,0.0025191566
189,0.0025225643
190,0.0025174278
191,0.0025129693
192,0.0025051436
193,0.0025052445
194,0.0025036638
195,0.0025040533
196,0.002503193
197,0.0025027886
198,0.0025009941
199,0.0025023099
200,0.0024998344
201,0.0024995229
202,0.002500533
203,0.0025000307
204,0.0025006153
205,0.0025049704
206,0.0024993028
207,0.0024959077
208,0.0024945
209,0.0024957764
210,0.002494495
211,0.0024937796
212,0.002493515
213,0.0024924267
214,0.0024899861
215,0.002489048
216,0.0024885
217,0.0024879738
218,0.0024875235
219,0.002484864
220,0.0024842904
221,0.0024843165
