,loss
0,0.046873894
1,0.0057600504
2,0.004626182
3,0.0039451905
4,0.0034495124
5,0.00314219
6,0.0029284426
7,0.0027313072
8,0.0025219943
9,0.0022941646
10,0.0021493428
11,0.0020861481
12,0.002040122
13,0.0019995484
14,0.0019616678
15,0.0019264868
16,0.0018942812
17,0.0018650353
18,0.001838546
19,0.0018145386
20,0.0017927268
21,0.0017728417
22,0.0017546446
23,0.0017379342
24,0.0017225489
25,0.0017083592
26,0.0016952641
27,0.0016831838
28,0.0016720518
29,0.001661815
30,0.0016524278
31,0.0016438505
32,0.0016360441
33,0.0016289715
34,0.0016225938
35,0.0016168697
36,0.0016117574
37,0.0016072128
38,0.0016031909
39,0.0015996447
40,0.0015965276
41,0.0015937919
42,0.0015913894
43,0.0015892728
44,0.0015873953
45,0.001585712
46,0.0015841811
47,0.0015827634
48,0.0015814233
49,0.001580129
50,0.0015788511
51,0.0015775645
52,0.0015762476
53,0.0015748839
54,0.0015734616
55,0.0015719732
56,0.0015704166
57,0.0015687927
58,0.0015671058
59,0.0015653616
60,0.0015635677
61,0.0015617318
62,0.0015598615
63,0.0015579633
64,0.0015560442
65,0.0015541096
66,0.0015521641
67,0.0015502118
68,0.0015482552
69,0.0015462955
70,0.0015443336
71,0.0015423681
72,0.0015403975
73,0.0015384177
74,0.0015364237
75,0.0015344097
76,0.0015323671
77,0.0015302883
78,0.0015281657
79,0.0015259943
80,0.0015237759
81,0.0015215165
82,0.0015192198
83,0.0015168686
84,0.0015144121
85,0.0015117559
86,0.0015087848
87,0.001509004
88,0.0015033718
89,0.001502911
90,0.0015928904
91,0.0015620088
92,0.0015100322
93,0.0015005652
94,0.001495292
95,0.0014904541
96,0.0018987835
97,0.0015447513
98,0.0015143325
99,0.0015082902
100,0.0015049274
101,0.001502519
102,0.0015005141
103,0.001498687
104,0.0014969324
105,0.0014951988
106,0.0014934632
107,0.001491714
108,0.0014899413
109,0.0014881316
110,0.0014862691
111,0.0014843335
112,0.0014823002
113,0.0014801304
114,0.0014777577
115,0.0014750597
116,0.0014719717
117,0.0015420105
118,0.0014865334
119,0.0014827432
120,0.0014805642
121,0.0014789616
122,0.0014775924
123,0.0014763075
124,0.0014750357
125,0.0014737436
126,0.0014724185
127,0.001471058
128,0.0014696661
129,0.0014682488
130,0.0014668138
131,0.0014653687
132,0.0014639184
133,0.0014624638
134,0.001460999
135,0.0014595111
136,0.0014579793
137,0.0014563733
138,0.0014546488
139,0.0014527383
140,0.001450532
141,0.0014479747
142,0.0015305006
143,0.0014605359
144,0.0014571685
145,0.0014553022
146,0.0014539905
147,0.0014529357
148,0.0014519932
149,0.0014510814
150,0.0014501519
151,0.0014491773
152,0.0014481444
153,0.0014470498
154,0.0014458946
155,0.0014446849
156,0.0014434274
157,0.0014421288
158,0.0014407934
159,0.0014394228
160,0.0014380151
161,0.0014365636
162,0.001435056
163,0.0014334745
164,0.0014317943
165,0.0014299846
166,0.0014280028
167,0.0014257894
168,0.0014232518
169,0.0014202835
170,0.0014202426
171,0.0014163484
172,0.0016639004
173,0.0014251685
174,0.001417829
175,0.0014145784
176,0.0014121981
177,0.001409843
178,0.0014073057
179,0.0014045126
180,0.0014012329
181,0.001442942
182,0.0014193736
183,0.0014134595
184,0.0014090438
185,0.001405157
186,0.0014014471
187,0.0013977713
188,0.0013940611
189,0.0013902796
190,0.0013863958
191,0.0013823687
192,0.0013781246
193,0.0013735346
194,0.0013683868
195,0.0013623581
196,0.0013552486
197,0.0014591358
198,0.0013676569
199,0.0013543201
200,0.0013425751
201,0.0013310803
202,0.0013194389
203,0.0013072604
204,0.0012932643
205,0.0012762888
206,0.0012602865
207,0.0012455046
208,0.001233465
209,0.0012246936
210,0.0012158797
211,0.0012106445
212,0.0012078102
213,0.0012335721
214,0.0012147196
215,0.0012102367
216,0.001207788
217,0.0012046618
218,0.00120285
219,0.0012003806
220,0.0011989673
221,0.0011962914
222,0.0011929736
223,0.0012527924
224,0.0029531487
225,0.0025225373
226,0.0014706098
227,0.0014483659
228,0.0014386823
229,0.0014318298
230,0.0014257046
231,0.001419445
232,0.0014125922
233,0.0014048356
234,0.0013958298
235,0.0013848022
236,0.0013686036
237,0.0013298107
238,0.0012816371
239,0.0012502087
240,0.0012236673
241,0.0012140415
242,0.0012071382
243,0.0012030071
244,0.0012064785
245,0.0012016342
246,0.0012095296
247,0.0012022761
248,0.001889981
249,0.0018184115
250,0.0015023248
251,0.0014662675
252,0.001431056
253,0.0014898868
254,0.0013922052
255,0.0013667609
256,0.0013357863
257,0.0013001062
258,0.0012828931
259,0.001252256
260,0.0012283497
261,0.0012135488
262,0.0012053242
263,0.001198193
264,0.0011910476
265,0.0016622813
266,0.0013857543
267,0.0012303917
268,0.0012187634
269,0.0012102346
270,0.0012135915
271,0.001208965
272,0.0013597548
273,0.001447565
274,0.0013936022
275,0.0013707994
276,0.0013264337
277,0.001258878
278,0.0012375956
279,0.0012233286
