,loss
0,0.028147804
1,0.004847187
2,0.0038801392
3,0.0034981563
4,0.003126514
5,0.0027318927
6,0.0023341435
7,0.0020608103
8,0.0019099301
9,0.0018200264
10,0.0017619291
11,0.0017217491
12,0.001690592
13,0.0016646588
14,0.001642334
15,0.0016227512
16,0.0016053821
17,0.0015898551
18,0.0015758879
19,0.001563265
20,0.001551798
21,0.0015413368
22,0.0015317688
23,0.0015229693
24,0.0015148758
25,0.0015074195
26,0.0015005302
27,0.0014941585
28,0.0014882628
29,0.0014827951
30,0.001477715
31,0.0014730005
32,0.0014686049
33,0.0014644967
34,0.0014606273
35,0.0014569907
36,0.0014535696
37,0.0014503367
38,0.0014472738
39,0.0014443637
40,0.0014415894
41,0.0014389362
42,0.0014363892
43,0.001433935
44,0.0014315608
45,0.0014292556
46,0.0014270085
47,0.0014248107
48,0.0014226544
49,0.0014205324
50,0.0014184397
51,0.0014163718
52,0.001414325
53,0.0014122966
54,0.0014102849
55,0.0014082885
56,0.0014063071
57,0.0014043408
58,0.0014023898
59,0.001400455
60,0.0013985377
61,0.0013966387
62,0.0013947592
63,0.0013929012
64,0.0013910662
65,0.0013892563
66,0.0013874734
67,0.00138572
68,0.001383998
69,0.0013823085
70,0.0013806524
71,0.0013790295
72,0.0013774397
73,0.0013758823
74,0.0013743564
75,0.0013728609
76,0.0013713946
77,0.0013699565
78,0.0013685456
79,0.0013671606
80,0.0013658004
81,0.0013644632
82,0.001363149
83,0.0013618557
84,0.0013605822
85,0.0013593276
86,0.0013580909
87,0.001356871
88,0.001355667
89,0.0013544781
90,0.0013533031
91,0.0013521415
92,0.0013509924
93,0.0013498546
94,0.0013487277
95,0.0013476118
96,0.0013465065
97,0.0013454119
98,0.0013443277
99,0.0013432537
100,0.0013421887
101,0.0013411319
102,0.0013400832
103,0.0013390424
104,0.0013380098
105,0.0013369852
106,0.0013359684
107,0.0013349593
108,0.001333958
109,0.0013329645
110,0.0013319785
111,0.001331
112,0.0013300293
113,0.0013290665
114,0.0013281115
115,0.0013271645
116,0.0013262253
117,0.0013252944
118,0.0013243713
119,0.0013234562
120,0.0013225488
121,0.0013216492
122,0.0013207572
123,0.0013198726
124,0.0013189953
125,0.0013181254
126,0.0013172623
127,0.0013164063
128,0.001315557
129,0.0013147142
130,0.001313878
131,0.0013130483
132,0.0013122249
133,0.0013114079
134,0.0013105972
135,0.0013097927
136,0.0013089945
137,0.0013082024
138,0.0013074166
139,0.0013066368
140,0.0013058631
141,0.0013050953
142,0.001304333
143,0.0013035765
144,0.0013028255
145,0.0013020798
146,0.0013013394
147,0.0013006044
148,0.0012998747
149,0.0012991503
150,0.001298431
151,0.0012977165
152,0.0012970071
153,0.0012963022
154,0.0012956016
155,0.0012949045
156,0.0012942107
157,0.001293521
158,0.001292837
159,0.0012921576
160,0.0012914843
161,0.0012908286
162,0.0012902046
163,0.0012894808
164,0.0012888227
165,0.0012881685
166,0.0012875168
167,0.0012868666
168,0.0012862178
169,0.0012855706
170,0.0012849256
171,0.0012842836
172,0.0012836499
173,0.0012831211
174,0.0012823876
175,0.0012817552
176,0.0012811248
177,0.0012804959
178,0.001279868
179,0.0012792399
180,0.0012786114
181,0.0012779824
182,0.0012773587
183,0.0012767728
184,0.0012760934
185,0.0012754665
186,0.0012748337
187,0.001274194
188,0.0012735454
189,0.0012728919
190,0.0012722485
191,0.0012715845
192,0.0012709289
193,0.0012702623
194,0.0012695858
195,0.0012688985
196,0.0012681995
197,0.0012674876
198,0.001266761
199,0.0012660191
200,0.0012652657
201,0.0012645043
202,0.0012637296
203,0.0012629355
204,0.0012621197
205,0.0012612808
206,0.0012604177
207,0.0012595274
208,0.0012586062
209,0.0012576516
210,0.0012566671
211,0.0012556571
212,0.0012545969
213,0.001253488
214,0.0012523283
215,0.0012511164
216,0.0012498386
217,0.001248526
218,0.0012471277
219,0.0012456707
220,0.0012441538
221,0.0012425698
222,0.0012409163
223,0.0012391938
224,0.0012374073
225,0.0012355683
226,0.0012336983
227,0.0012318275
228,0.0012299886
229,0.0012282098
230,0.0012265117
231,0.001224902
232,0.0012233765
233,0.0012219228
234,0.0012205256
235,0.0012191703
236,0.0012178442
237,0.001216538
238,0.0012152446
239,0.0012139577
240,0.0012126719
241,0.0012113816
242,0.001210082
243,0.0012087667
244,0.0012074285
245,0.0012060582
246,0.001204645
247,0.0012031761
248,0.0012016363
249,0.0012000105
250,0.0011982853
251,0.0011964507
252,0.0011945091
253,0.0011924778
254,0.0011903908
255,0.00118829
256,0.0011862143
257,0.0011841977
258,0.0011822721
259,0.0011804687
260,0.0011788115
261,0.0011773001
262,0.0011758811
263,0.0011744701
264,0.0011730394
265,0.0011716298
266,0.0011702859
267,0.0011690342
268,0.001167883
269,0.0011668268
270,0.0011658514
271,0.0011649436
272,0.0011640956
273,0.0011633035
274,0.0011625658
275,0.0011618838
276,0.0011612647
277,0.0011607297
278,0.0011603496
279,0.0011603041
280,0.001160349
281,0.0011599069
282,0.0011593822
283,0.0011588898
284,0.0011587229
285,0.0011595553
286,0.0011605411
287,0.0011588227
288,0.001155946
289,0.0011540889
290,0.001154605
291,0.0011556181
292,0.0011560174
293,0.0011552585
294,0.0011540981
295,0.0011533365
296,0.0011526973
297,0.0011520084
298,0.0011513521
299,0.0011507588
300,0.0011502343
301,0.0011497927
302,0.0011494557
303,0.0011491969
304,0.0011489203
305,0.0011485718
306,0.0011481731
307,0.0011477635
308,0.0011473793
309,0.0011470502
310,0.0011467783
311,0.0011465591
312,0.0011463702
313,0.0011461271
314,0.0011458297
315,0.0011455938
316,0.0011454895
317,0.001145347
318,0.0011449723
319,0.0011444836
320,0.0011441016
321,0.0011440682
322,0.0011442474
323,0.0011442517
324,0.001146329
325,0.0011467759
326,0.0011450975
327,0.0011439137
328,0.001143138
329,0.0011432521
330,0.0011440483
331,0.0011434561
332,0.0011425571
333,0.0011419558
334,0.0011418788
335,0.001142081
336,0.00114212
337,0.0011417775
338,0.0011415108
339,0.0011413608
340,0.0011409973
341,0.0011403323
342,0.0011400272
343,0.0011405105
344,0.001140311
345,0.0011401508
346,0.0011401449
347,0.0011403499
348,0.0011412507
349,0.001141714
350,0.0011425379
351,0.0011421795
352,0.0011397249
353,0.0011378428
354,0.0011381946
355,0.0011383499
356,0.001138536
357,0.0011392741
358,0.001138708
359,0.0011380443
360,0.0011382906
361,0.0011382203
362,0.0011385232
363,0.0011394694
364,0.0011394721
365,0.0011377307
366,0.0011357445
367,0.0011361415
368,0.0011366771
369,0.001137584
370,0.0011378429
371,0.0011364083
372,0.0011358298
373,0.001135493
374,0.0011353472
375,0.0011359758
376,0.0011359323
377,0.0011346583
378,0.0011332348
379,0.0011334128
380,0.0011341383
381,0.0011356274
382,0.0011351454
383,0.0011340523
384,0.0011334296
385,0.0011330064
386,0.0011332233
387,0.0011321508
388,0.0011308325
389,0.0011313462
390,0.0011318572
391,0.001133084
392,0.0011329062
393,0.0011321197
394,0.0011310531
395,0.0011299691
396,0.001129117
397,0.00112925
398,0.0011293044
399,0.001130177
400,0.0011309116
401,0.0011304684
402,0.0011300076
403,0.0011282119
404,0.0011275758
405,0.0011288106
406,0.0011284034
407,0.0011298716
408,0.001130372
409,0.001129991
410,0.0011272538
411,0.0011258653
412,0.0011271775
413,0.0011280781
414,0.0011306047
415,0.0011290974
416,0.0011292675
417,0.0011250133
418,0.0011226519
419,0.001125999
420,0.0011262925
421,0.0011262269
422,0.0011280035
423,0.0011224417
424,0.001120173
425,0.0011233678
426,0.0011594652
427,0.0011429522
428,0.0011276485
429,0.0011212799
430,0.0011208525
431,0.0011213743
432,0.0011221136
433,0.0013011191
434,0.0011553314
435,0.00112677
436,0.001122665
437,0.0011208488
438,0.0011201302
439,0.0011196805
440,0.0011195999
441,0.0011198473
442,0.0011202533
443,0.0011204078
444,0.0011200259
445,0.0011191871
446,0.0011180101
447,0.0011171483
448,0.00111696
449,0.0011172909
450,0.0011280322
451,0.0013022632
452,0.0011632747
453,0.0011263608
454,0.0011184049
455,0.0011161934
456,0.001115046
457,0.0011144185
458,0.0011142138
459,0.001114242
460,0.0011143981
461,0.0011146298
462,0.0011147719
463,0.0011147347
464,0.0011148985
465,0.0011139989
466,0.001112264
467,0.0011115032
468,0.0011134149
469,0.0011155683
470,0.0011111066
471,0.0011133912
472,0.0013135945
473,0.0011664799
474,0.0011222662
475,0.0011134471
476,0.0011097612
477,0.0011082701
478,0.0011075683
479,0.0011072244
480,0.0011071077
481,0.0011071473
482,0.0011072656
483,0.0011073694
484,0.0011074188
485,0.0011073266
486,0.0011064974
487,0.0011052692
488,0.0011055028
489,0.0011055312
490,0.0011059134
491,0.0011046701
492,0.001106368
493,0.0011072578
494,0.0011033235
495,0.0012334434
496,0.0011355651
497,0.001105143
498,0.0011000313
499,0.001100292
