,loss
0,0.18715434
1,0.033409312
2,0.0067387936
3,0.00480735
4,0.0038077247
5,0.005494107
6,0.0035087287
7,0.0030215327
8,0.0029652338
9,0.003154502
10,0.0029874307
11,0.0028603943
12,0.0028011913
13,0.002775119
14,0.0027510284
15,0.002738603
16,0.0027273581
17,0.0027153944
18,0.0027067317
19,0.0026929916
20,0.0026867078
21,0.0026739908
22,0.0026649598
23,0.0026573972
24,0.002648872
25,0.00263991
26,0.0026297572
27,0.0026234747
28,0.0026184977
29,0.0026133617
30,0.0026231473
31,0.0026124925
32,0.0026030769
33,0.0027170922
34,0.0025927932
35,0.002584916
36,0.0025814886
37,0.002578293
38,0.0025756047
39,0.0025725923
40,0.0025654817
41,0.0025933816
42,0.0026034622
43,0.0025585236
44,0.0025439973
45,0.0025365858
46,0.0024954816
47,0.0025249666
48,0.0025016195
49,0.0024831812
50,0.0024762226
51,0.00246804
52,0.0024642292
53,0.002458666
54,0.0024556797
55,0.0024589964
56,0.0024491479
57,0.0024459148
58,0.002443172
59,0.0024433595
60,0.0024384297
61,0.0024408724
62,0.002431824
63,0.002429671
64,0.002431168
65,0.0024433236
66,0.0024427164
67,0.0024335508
68,0.0032659469
69,0.002440914
70,0.0024206322
71,0.0024188948
72,0.0024812778
73,0.0024974034
74,0.0024540888
75,0.002440053
76,0.0024370474
77,0.0024224466
78,0.0024564245
79,0.002473289
80,0.0024269882
81,0.0024246466
82,0.0024158559
83,0.0025131418
84,0.0024649575
85,0.002421413
86,0.0024100957
87,0.0024248806
88,0.002417917
89,0.0024201593
90,0.00241805
91,0.0024180221
92,0.0024880972
93,0.0025200094
94,0.0024170044
95,0.00241409
96,0.002411001
97,0.002406959
98,0.0024047978
99,0.002400858
100,0.0023979624
101,0.0023945712
102,0.0023906913
103,0.002392383
104,0.002387794
105,0.0023895365
106,0.0023825134
107,0.0023824244
108,0.002383676
109,0.0023728479
110,0.00237663
111,0.002373157
112,0.0023708206
113,0.0023703594
114,0.0023633593
115,0.0023643118
116,0.0023622916
117,0.0023582305
118,0.0024581966
119,0.0023604254
120,0.0023538712
121,0.0023460668
122,0.0023523257
123,0.002344674
124,0.0023422735
125,0.0023405838
126,0.0023390367
127,0.0023385307
128,0.0023352033
129,0.0023281765
130,0.0023293507
131,0.002327679
132,0.002323693
133,0.002318273
134,0.0023212368
135,0.0023200994
136,0.0022957444
137,0.002294655
138,0.0022899823
139,0.002295902
140,0.002287521
141,0.002287554
142,0.0022810593
143,0.0022784516
144,0.00227373
145,0.002272953
146,0.0022681712
147,0.0022715272
148,0.0022677565
149,0.002255265
150,0.0023407496
151,0.002269685
152,0.002260558
153,0.0023375018
154,0.0022555133
155,0.0022502881
156,0.0022466439
157,0.0022620836
158,0.0022840165
159,0.0022609306
160,0.0022511585
161,0.0022441393
162,0.0022456665
163,0.0022393165
164,0.00223574
165,0.0022367246
166,0.0022332694
167,0.0022440958
168,0.0022934782
169,0.002595402
170,0.002301743
171,0.0023776758
172,0.0023470137
173,0.002328721
174,0.0023201844
175,0.002314697
176,0.002310789
177,0.002309222
178,0.002311823
179,0.002315128
180,0.0023265732
181,0.002324029
182,0.0023028501
183,0.0022985116
184,0.0022924196
185,0.0024830636
186,0.0024359387
187,0.0023636713
188,0.0022804346
189,0.0022542502
190,0.0022364
191,0.0022231126
192,0.0022217548
193,0.0022171233
194,0.002224442
195,0.0022019339
196,0.0021891375
197,0.002184836
198,0.0022010412
199,0.0022238898
200,0.002232872
201,0.002212575
202,0.002183944
203,0.0021787384
204,0.0021711974
205,0.002175705
206,0.00218179
207,0.0021856325
208,0.0021593638
209,0.0021752336
210,0.0022371635
211,0.0021671616
212,0.0021849123
213,0.0022146087
214,0.0022003353
215,0.0022093758
216,0.0021772112
217,0.0021746955
218,0.0021761737
219,0.0021804885
220,0.0022161026
221,0.0021666158
222,0.0021543188
223,0.0021609426
224,0.0021633066
225,0.0021660454
226,0.0022094618
227,0.0021329336
228,0.0021373176
229,0.0021279978
230,0.002135444
231,0.0021207812
232,0.0021089434
233,0.0021057012
234,0.0021268453
235,0.0021968451
236,0.0021224911
237,0.0020987613
238,0.0020883011
239,0.0020890862
240,0.0020843428
241,0.0020889917
242,0.0020834438
243,0.0020800503
244,0.0020890408
245,0.0021019378
246,0.0021005608
247,0.0021105795
248,0.0021564327
249,0.00207301
250,0.0020694511
251,0.002069756
252,0.0020609107
253,0.0020745064
254,0.0020666134
255,0.0020659592
256,0.0020621363
257,0.002061096
258,0.0020584918
259,0.002072154
260,0.0021448648
261,0.0020554636
262,0.002050444
263,0.0020453597
264,0.002046895
265,0.0020442992
266,0.0020549698
267,0.002057775
268,0.0020519358
269,0.0020446007
270,0.0020374786
271,0.0020591149
272,0.0021152294
273,0.0020490347
274,0.0020453748
275,0.002040367
276,0.0020395196
277,0.0020350036
278,0.0020321982
279,0.002029634
280,0.0020259416
281,0.0020274816
282,0.0020293384
283,0.0020249216
284,0.002028682
285,0.0020937868
286,0.002032897
287,0.0020250194
288,0.002015772
289,0.002013289
290,0.0020107809
291,0.0020135536
292,0.0020120405
293,0.0020158885
294,0.0020094782
295,0.0022714506
296,0.0022336037
297,0.002070631
298,0.002041171
299,0.0020291018
300,0.0020180095
301,0.0020171357
302,0.002013416
303,0.0020055687
304,0.002006239
305,0.0019993053
306,0.00200574
307,0.0019974466
308,0.0019943458
309,0.0019948883
310,0.0020417667
311,0.0020421217
312,0.0021375157
313,0.0020127452
314,0.0020008888
315,0.0019939
316,0.0019911192
317,0.0019896068
318,0.0019864575
