,loss
0,0.0364701
1,0.005525132
2,0.004355809
3,0.0033850488
4,0.0029262777
5,0.002725196
6,0.002527683
7,0.0023159743
8,0.002173372
9,0.0020948264
10,0.0020296874
11,0.001978905
12,0.0019379478
13,0.0019037264
14,0.0018743618
15,0.0018486825
16,0.0018259162
17,0.0018055226
18,0.0017871101
19,0.0017703775
20,0.0017551045
21,0.0017411076
22,0.001728251
23,0.0017164006
24,0.0017054713
25,0.0016953757
26,0.0016860253
27,0.0016773525
28,0.0016693607
29,0.001661968
30,0.0016551362
31,0.0016488314
32,0.0016430223
33,0.0016376777
34,0.0016326682
35,0.0016282009
36,0.0016241107
37,0.0016203034
38,0.0016167938
39,0.0016135491
40,0.0016105341
41,0.0016077136
42,0.0016050537
43,0.0016025214
44,0.0016000832
45,0.0015977108
46,0.0015953813
47,0.0015930778
48,0.0015907879
49,0.0015885024
50,0.0015862304
51,0.0015839619
52,0.0015817013
53,0.0015794622
54,0.0015772323
55,0.0015750265
56,0.0015728433
57,0.0015706826
58,0.0015685451
59,0.0015664292
60,0.0015643148
61,0.0015622635
62,0.001560194
63,0.0015581425
64,0.0015560901
65,0.00155407
66,0.001552059
67,0.0015499521
68,0.0015478705
69,0.0015457729
70,0.0015436067
71,0.0015413832
72,0.0015390696
73,0.0015366058
74,0.0015339439
75,0.0015309706
76,0.0015273516
77,0.0015289141
78,0.0017503697
79,0.0015823692
80,0.0015540395
81,0.0015438024
82,0.0015377684
83,0.0015335719
84,0.0015302832
85,0.0015274566
86,0.0015248647
87,0.0015223954
88,0.001520001
89,0.0015176703
90,0.0015154063
91,0.0015132119
92,0.0015110801
93,0.0015089894
94,0.0015069053
95,0.0015047762
96,0.001502527
97,0.001500037
98,0.0014971067
99,0.0014946976
100,0.0016513574
101,0.0015083548
102,0.0015042656
103,0.0015019977
104,0.0015003073
105,0.0014988364
106,0.0014974657
107,0.0014961463
108,0.0014948496
109,0.0014935532
110,0.0014922393
111,0.0014908942
112,0.0014895077
113,0.0014880676
114,0.0014865577
115,0.0014849517
116,0.0014832084
117,0.0014812594
118,0.0014789865
119,0.0014762689
120,0.0015170787
121,0.0014887708
122,0.0014831559
123,0.0014798584
124,0.001477556
125,0.0014757918
126,0.0014743422
127,0.0014730638
128,0.0014718447
129,0.0014705843
130,0.0014691855
131,0.0014675412
132,0.0014654902
133,0.0014626569
134,0.0015777063
135,0.0014799734
136,0.0014758008
137,0.0014732184
138,0.0014713713
139,0.001469901
140,0.0014686418
141,0.0014675093
142,0.0014664567
143,0.001465455
144,0.0014644836
145,0.0014635241
146,0.0014625575
147,0.001461564
148,0.0014605215
149,0.0014594055
150,0.0014581839
151,0.0014568126
152,0.0014552216
153,0.0014532874
154,0.0014510105
155,0.0015151118
156,0.0014643692
157,0.0014597762
158,0.0014569125
159,0.0014548019
160,0.0014531192
161,0.0014517119
162,0.0014504786
163,0.0014493262
164,0.0014481568
165,0.0014468622
166,0.001445311
167,0.0014432749
168,0.0014427082
169,0.0014880307
170,0.0014556956
171,0.0014509327
172,0.0014479074
173,0.0014456691
174,0.0014438999
175,0.0014424381
176,0.0014411584
177,0.0014399252
178,0.0014385805
179,0.0014369308
180,0.0014345312
181,0.001491413
182,0.001455827
183,0.0014516716
184,0.0014491295
185,0.001447237
186,0.0014456741
187,0.0014442912
188,0.0014430154
189,0.0014418135
190,0.0014406744
191,0.0014395972
192,0.0014385864
193,0.0014376432
194,0.001436764
195,0.001435934
196,0.001435128
197,0.0014343108
198,0.001433442
199,0.0014324808
200,0.0014313856
201,0.001430111
202,0.001428597
203,0.0014267705
204,0.0014753896
205,0.001440902
206,0.0014360509
207,0.0014329654
208,0.0014306961
209,0.0014289122
210,0.0014274654
211,0.001426265
212,0.0014252281
213,0.0014242613
214,0.0014232608
215,0.0014221256
216,0.0014207566
217,0.0014189472
218,0.0014198165
219,0.0014166574
220,0.0016276834
221,0.0014423183
222,0.0014325285
223,0.0014263439
224,0.0014223724
225,0.0014198403
226,0.0014181741
227,0.0014171964
228,0.0014225643
229,0.0014130106
230,0.0014110584
231,0.0014352913
232,0.0014291583
233,0.0014190947
234,0.0014148976
235,0.001412305
236,0.0014101401
237,0.0014077277
238,0.0014115465
239,0.0014040892
240,0.0015282107
241,0.0014337552
242,0.0014263539
243,0.0014211087
244,0.0014170231
245,0.0014137741
246,0.0014111978
247,0.001409158
248,0.001407495
249,0.0014060253
250,0.0014046005
251,0.0014032011
252,0.0014022293
253,0.0014012984
254,0.0014184073
255,0.0014177635
256,0.0014072566
257,0.0014022678
258,0.0013988209
259,0.001396025
260,0.0013936188
261,0.0013914197
262,0.0013892273
263,0.0013868792
264,0.0013843811
265,0.0014303279
266,0.0013951191
267,0.0013894013
268,0.0013851475
269,0.0013817876
270,0.0013789458
271,0.0013762681
272,0.0013734639
273,0.0013703684
274,0.0013670794
275,0.0013725699
276,0.0013608327
277,0.001355278
278,0.0013535445
279,0.0013529834
280,0.0013346424
281,0.0012862158
282,0.0012900874
283,0.001356673
284,0.0012447209
285,0.0013908928
286,0.0015660395
287,0.0016115616
288,0.0014561391
289,0.00143433
290,0.001423993
291,0.001417935
292,0.00141383
293,0.0014104075
294,0.0015143104
295,0.0014311135
296,0.0014249242
297,0.0014202357
298,0.001415837
299,0.0014115846
300,0.0014069346
301,0.0014014263
302,0.0013981288
303,0.0013945923
304,0.0013915166
305,0.001384652
306,0.0013865088
307,0.0013742715
308,0.0013698133
309,0.0013642258
310,0.0013540264
311,0.0013457127
312,0.0013514111
313,0.0013294586
314,0.0013262558
315,0.0013304726
316,0.0013269079
317,0.0013027998
318,0.0012778555
319,0.0012503702
320,0.0012276849
321,0.0012105842
322,0.0011977575
323,0.0011942806
324,0.0011849876
325,0.0011762353
326,0.0011887328
327,0.001193013
328,0.0011739157
329,0.0011653219
330,0.0011605794
331,0.0011594378
332,0.0012599879
333,0.0011988587
334,0.0011715224
335,0.0011663075
336,0.0011603362
337,0.0011667351
338,0.0011610603
339,0.0013076913
340,0.0013866995
341,0.0013307177
342,0.0012147035
343,0.001194351
344,0.0013011657
345,0.0012770124
346,0.0012079511
347,0.0011888723
348,0.0011715433
349,0.001165615
350,0.0011632594
351,0.0011952167
352,0.0015993734
353,0.0014846533
354,0.0013658527
355,0.0013372354
356,0.0013192575
357,0.0012984292
358,0.001279078
359,0.0012584551
360,0.0012365375
361,0.001214283
362,0.0011993526
363,0.00119252
364,0.0011769037
365,0.0011845164
366,0.0011677435
367,0.0011649918
368,0.0011690554
369,0.0011579802
370,0.0011589997
371,0.0011631664
372,0.0011490771
373,0.0011542414
374,0.0011877774
375,0.001170729
376,0.0011629947
377,0.0011703707
378,0.0011528475
379,0.0011646703
380,0.0011581779
381,0.0011730305
382,0.0011607301
383,0.0011818489
384,0.0013936085
385,0.0013420758
386,0.001254782
387,0.0011816537
388,0.001167945
389,0.0011766551
390,0.001183605
391,0.0011623023
392,0.0011463669
393,0.001143844
394,0.0011452769
395,0.0011573368
396,0.0011418329
397,0.0011404142
398,0.0011395382
399,0.0011364403
400,0.0011531252
401,0.0011469127
402,0.0011362393
403,0.0011409031
404,0.0011432664
405,0.0011401151
406,0.0011367378
407,0.0011337163
408,0.0011345464
409,0.0011443986
410,0.0011461013
411,0.0011452626
412,0.0011425784
413,0.0011377592
414,0.0011504758
415,0.0011384117
416,0.0011335916
417,0.0011289906
418,0.0011298663
419,0.0011342536
420,0.0011370464
421,0.0011335857
422,0.0011316942
423,0.0011290718
424,0.0011275583
425,0.0011251387
426,0.0011280888
427,0.0011285963
428,0.0011259357
429,0.0011296495
430,0.0011319395
431,0.0011285909
432,0.0011262562
433,0.0011244289
434,0.0011219444
435,0.0011236531
436,0.0011257943
437,0.001129195
438,0.0011289731
439,0.0011264277
440,0.0011274876
441,0.0011327013
442,0.0011257917
443,0.0011280788
444,0.0011223798
445,0.0011219189
446,0.0011199905
447,0.001119779
448,0.0012934133
449,0.0011388634
450,0.0011331771
451,0.0011322703
452,0.0011288947
453,0.0011283275
454,0.0011274816
455,0.0011270059
456,0.0011266032
457,0.0011268388
458,0.001129085
459,0.0011241485
460,0.0011217253
461,0.001121196
462,0.0011213429
463,0.0011253351
464,0.0011215896
465,0.001125494
466,0.0011228769
467,0.0011255095
468,0.0011231662
469,0.0011229465
470,0.0011184098
471,0.0011166978
472,0.0011186661
473,0.0011183415
474,0.0011271251
475,0.0011156886
476,0.0011224245
477,0.0011324516
478,0.0011151507
479,0.001126647
480,0.0011135498
481,0.001124237
482,0.0011171842
483,0.0011133488
484,0.0011151747
485,0.0011513842
486,0.0011156957
487,0.0011109905
488,0.0011166794
489,0.0011196405
490,0.0011218021
491,0.0011130227
492,0.001111246
493,0.0011090485
494,0.001110839
495,0.0011065984
496,0.0011279411
497,0.0013241548
498,0.0013170518
499,0.0012015369
