,loss
0,0.041239142
1,0.0059073432
2,0.0044266027
3,0.00398865
4,0.0037328308
5,0.0035348858
6,0.0033524968
7,0.003169373
8,0.0029800606
9,0.002783007
10,0.002577778
11,0.002368122
12,0.002169086
13,0.0020067396
14,0.001887282
15,0.0018024083
16,0.0017424147
17,0.0016990097
18,0.001666041
19,0.0016396529
20,0.0016177369
21,0.0015991381
22,0.0015831398
23,0.001569236
24,0.0015570434
25,0.0015462593
26,0.0015366419
27,0.0015279975
28,0.0015201698
29,0.0015130334
30,0.0015064875
31,0.0015004511
32,0.001494859
33,0.0014896574
34,0.001484802
35,0.0014802562
36,0.0014759899
37,0.0014719764
38,0.0014681942
39,0.0014646243
40,0.0014612507
41,0.0014580585
42,0.0014550355
43,0.0014521703
44,0.0014494524
45,0.0014468723
46,0.001444421
47,0.0014420903
48,0.001439872
49,0.0014377584
50,0.0014357428
51,0.0014338181
52,0.0014319781
53,0.0014302173
54,0.0014285296
55,0.001426911
56,0.0014253568
57,0.0014238625
58,0.0014224243
59,0.001421038
60,0.0014196999
61,0.0014184051
62,0.0014171504
63,0.0014159317
64,0.0014147444
65,0.001413585
66,0.0014124496
67,0.0014113346
68,0.0014102368
69,0.001409153
70,0.0014080805
71,0.0014070171
72,0.00140596
73,0.0014049077
74,0.0014038585
75,0.001402811
76,0.0014017638
77,0.0014007158
78,0.0013996662
79,0.0013986146
80,0.0013975601
81,0.0013965028
82,0.0013954424
83,0.0013943788
84,0.0013933125
85,0.0013922433
86,0.0013911722
87,0.0013900996
88,0.0013890257
89,0.0013879513
90,0.0013868771
91,0.0013858039
92,0.0013847324
93,0.0013836627
94,0.001382596
95,0.0013815322
96,0.0013804719
97,0.0013794159
98,0.001378364
99,0.0013773167
100,0.001376274
101,0.0013752365
102,0.0013742042
103,0.0013731773
104,0.0013721556
105,0.0013711394
106,0.0013701291
107,0.001369124
108,0.0013681245
109,0.0013671304
110,0.0013661417
111,0.0013651584
112,0.0013641804
113,0.0013632072
114,0.0013622395
115,0.0013612767
116,0.0013603186
117,0.0013593658
118,0.0013584174
119,0.0013574737
120,0.0013565348
121,0.0013556003
122,0.0013546706
123,0.0013537452
124,0.0013528244
125,0.0013519078
126,0.0013509957
127,0.0013500882
128,0.0013491847
129,0.001348285
130,0.0013473898
131,0.0013464984
132,0.0013456113
133,0.0013447276
134,0.0013438481
135,0.001342972
136,0.0013420997
137,0.0013412309
138,0.0013403655
139,0.0013395034
140,0.0013386444
141,0.0013377886
142,0.001336936
143,0.0013360862
144,0.0013352395
145,0.0013343957
146,0.0013335544
147,0.0013327161
148,0.0013318806
149,0.0013310477
150,0.0013302178
151,0.0013293907
152,0.0013285663
153,0.0013277446
154,0.0013269258
155,0.0013261102
156,0.001325297
157,0.001324487
158,0.00132368
159,0.001322876
160,0.001322075
161,0.0013212772
162,0.0013204826
163,0.0013196913
164,0.001318903
165,0.0013181183
166,0.001317337
167,0.0013165592
168,0.0013157849
169,0.0013150141
170,0.0013142471
171,0.0013134838
172,0.0013127244
173,0.0013119688
174,0.0013112171
175,0.0013104695
176,0.001309726
177,0.0013089865
178,0.0013082512
179,0.0013075202
180,0.0013067937
181,0.0013060715
182,0.0013053538
183,0.0013046407
184,0.0013039319
185,0.0013032277
186,0.0013025283
187,0.0013018337
188,0.0013011436
189,0.0013004581
190,0.0012997774
191,0.0012991015
192,0.0012984303
193,0.0012977639
194,0.0012971021
195,0.0012964451
196,0.0012957931
197,0.0012951455
198,0.0012945026
199,0.0012938642
200,0.0012932305
201,0.0012926013
202,0.0012919764
203,0.001291356
204,0.0012907401
205,0.0012901281
206,0.0012895203
207,0.0012889164
208,0.0012883166
209,0.0012877207
210,0.0012871283
211,0.0012865396
212,0.0012859541
213,0.0012853721
214,0.001284793
215,0.001284217
216,0.0012836439
217,0.0012830733
218,0.0012825051
219,0.0012819389
220,0.0012813751
221,0.0012808125
222,0.0012802518
223,0.0012796922
224,0.0012791334
225,0.0012785752
226,0.0012780171
227,0.0012774589
228,0.0012769
229,0.0012763399
230,0.0012757785
231,0.0012752151
232,0.001274649
233,0.0012740799
234,0.0012735074
235,0.0012729305
236,0.001272349
237,0.0012717623
238,0.0012711696
239,0.0012705703
240,0.0012699639
241,0.0012693494
242,0.0012687261
243,0.001268093
244,0.001267449
245,0.0012667929
246,0.0012661233
247,0.0012654386
248,0.0012647372
249,0.0012640171
250,0.0012632761
251,0.0012625115
252,0.0012617203
253,0.0012608996
254,0.0012600456
255,0.0012591537
256,0.0012582194
257,0.0012572365
258,0.0012561987
259,0.0012550983
260,0.0012539261
261,0.0012526718
262,0.0012513233
263,0.0012498663
264,0.0012482849
265,0.0012465608
266,0.001244674
267,0.0012426035
268,0.001240329
269,0.0012378347
270,0.0012351157
271,0.001232193
272,0.0012291407
273,0.0012261231
274,0.0012233495
275,0.0012208179
276,0.0012182605
277,0.0012156066
278,0.0012129998
279,0.001210551
280,0.0012083233
281,0.0012063418
282,0.0012046024
283,0.001203082
284,0.0012017459
285,0.0012005606
286,0.0011994954
287,0.001198527
288,0.0011976382
289,0.0011968159
290,0.0011960502
291,0.0011953339
292,0.0011946609
293,0.0011940261
294,0.0011934256
295,0.0011928559
296,0.0011923136
297,0.0011917963
298,0.001191302
299,0.001190828
300,0.0011903729
301,0.0011899351
302,0.0011895132
303,0.0011891059
304,0.0011887121
305,0.0011883307
306,0.0011879607
307,0.0011876015
308,0.0011872521
309,0.0011869121
310,0.0011865807
311,0.0011862572
312,0.0011859413
313,0.0011856324
314,0.0011853302
315,0.001185034
316,0.0011847437
317,0.0011844586
318,0.0011841785
319,0.0011839031
320,0.001183632
321,0.0011833648
322,0.0011831012
323,0.0011828409
324,0.0011825837
325,0.0011823293
326,0.001182077
327,0.0011818269
328,0.0011815783
329,0.0011813313
330,0.0011810856
331,0.0011808401
332,0.0011805949
333,0.0011803495
334,0.0011801034
335,0.0011798564
336,0.0011796077
337,0.0011793566
338,0.0011791025
339,0.0011788446
340,0.0011785823
341,0.0011783142
342,0.0011780394
343,0.0011777561
344,0.0011774633
345,0.0011771586
346,0.0011768392
347,0.0011765027
348,0.0011761447
349,0.001175761
350,0.0011753459
351,0.0011748964
352,0.0011744186
353,0.0011739372
354,0.001173488
355,0.001173174
356,0.0011730666
357,0.0011729881
358,0.0011728278
359,0.0011726097
360,0.0011723747
361,0.0011721423
362,0.0011719184
363,0.0011717029
364,0.0011714947
365,0.0011712932
366,0.0011710969
367,0.0011709054
368,0.0011707179
369,0.0011705336
370,0.0011703518
371,0.0011701708
372,0.00116999
373,0.001169808
374,0.0011696238
375,0.0011694361
376,0.001169245
377,0.0011690496
378,0.0011688501
379,0.0011686466
380,0.0011684394
381,0.0011682282
382,0.0011680136
383,0.0011677954
384,0.0011675738
385,0.0011673486
386,0.0011671198
387,0.0011668869
388,0.00116665
389,0.0011664084
390,0.001166162
391,0.0011659104
392,0.001165653
393,0.0011653891
394,0.0011651185
395,0.0011648405
396,0.001164554
397,0.0011642585
398,0.0011639528
399,0.001163636
400,0.0011633069
401,0.001162964
402,0.0011626062
403,0.0011622317
404,0.0011618398
405,0.0011614294
406,0.001161
407,0.001160552
408,0.0011600872
409,0.0011596066
410,0.0011591131
411,0.0011586081
412,0.0011580933
413,0.0011575693
414,0.0011570359
415,0.0011564927
416,0.001155939
417,0.0011553735
418,0.0011547953
419,0.0011542034
420,0.0011535973
421,0.0011529765
422,0.0011523413
423,0.0011516922
424,0.001151031
425,0.0011503596
426,0.0011496817
427,0.0011490027
428,0.001148328
429,0.0011476612
430,0.0011470075
431,0.0011463771
432,0.0011457884
433,0.001145256
434,0.0011447476
435,0.0011441575
436,0.0011434399
437,0.001142746
438,0.0011423817
439,0.0011428224
440,0.0011445765
441,0.0011462554
442,0.0011455311
443,0.001143802
444,0.0011424342
445,0.0011415489
446,0.0011409734
447,0.0011405137
448,0.0011400109
449,0.0011394644
450,0.0011390601
451,0.0011390534
452,0.0011396548
453,0.0011408534
454,0.0011418144
455,0.0011414798
456,0.0011402847
457,0.0011391083
458,0.0011382647
459,0.0011376842
460,0.0011370952
461,0.0011364393
462,0.0011360785
463,0.0011363465
464,0.0011371535
465,0.0011382604
466,0.0011389642
467,0.0011385088
468,0.0011373066
469,0.0011361307
470,0.001135284
471,0.0011346088
472,0.0011338913
473,0.0011334297
474,0.0011336274
475,0.0011343044
476,0.0011351901
477,0.001135802
478,0.0011355137
479,0.0011344526
480,0.0011332677
481,0.0011323774
482,0.001131589
483,0.0011307866
484,0.0011304952
485,0.0011309718
486,0.0011317183
487,0.0011323562
488,0.0011323848
489,0.0011316239
490,0.0011304797
491,0.0011294914
492,0.0011287368
493,0.0011279176
494,0.0011274205
495,0.0011278964
496,0.0011286716
497,0.0011291776
498,0.0011289387
499,0.0011279942
