,loss
0,0.2269009
1,0.04327999
2,0.0064222254
3,0.004526242
4,0.0044015306
5,0.0038709533
6,0.0035073303
7,0.003313497
8,0.0035055573
9,0.0032171865
10,0.003151677
11,0.0030173846
12,0.0029640493
13,0.0033230307
14,0.0030627947
15,0.002930831
16,0.002895699
17,0.0028781435
18,0.0031113422
19,0.0030966725
20,0.0029249813
21,0.0028793064
22,0.002858443
23,0.0028488915
24,0.0028352197
25,0.002817707
26,0.0028121555
27,0.0028060558
28,0.002805059
29,0.0028804662
30,0.002829743
31,0.0028102559
32,0.002803533
33,0.0027965223
34,0.0027913498
35,0.0027878964
36,0.00278421
37,0.0027817995
38,0.0027787704
39,0.0027757806
40,0.0027864026
41,0.0028708654
42,0.0027826452
43,0.0027778228
44,0.0027733305
45,0.0027620222
46,0.0027694444
47,0.0027692341
48,0.0027672593
49,0.0027648583
50,0.0027600646
51,0.0027649673
52,0.002893186
53,0.002745919
54,0.0027176435
55,0.0027060367
56,0.0026956294
57,0.0026864782
58,0.0026818735
59,0.0026779508
60,0.002674614
61,0.0026719014
62,0.0026693915
63,0.0026668827
64,0.0026918438
65,0.002683617
66,0.0027728307
67,0.0026699125
68,0.0026645528
69,0.002663255
70,0.0026642352
71,0.0026601946
72,0.002659889
73,0.0026594312
74,0.0026591253
75,0.002658622
76,0.0026582086
77,0.0026576975
78,0.0026572251
79,0.002693157
80,0.0027404295
81,0.0027087168
82,0.002707114
83,0.0027060194
84,0.0027064644
85,0.0027092411
86,0.0027025756
87,0.0027026343
88,0.0027036637
89,0.0027023128
90,0.002701363
91,0.0027006955
92,0.0026997835
93,0.0026977977
94,0.0029779603
95,0.0028334686
96,0.0027263323
97,0.0027106456
98,0.0027050318
99,0.00303008
100,0.0027453331
101,0.0027280734
102,0.002725307
103,0.0027230429
104,0.002720966
105,0.0027183099
106,0.0027172146
107,0.0027251216
108,0.0027207811
109,0.0027172712
110,0.0027144356
111,0.0027121275
112,0.0027215418
113,0.002718823
114,0.002753297
115,0.0027523336
116,0.002751471
117,0.0027503166
118,0.0027493152
119,0.0027484812
120,0.0027476305
121,0.0027467008
122,0.0027461045
123,0.0027450435
124,0.0027440342
125,0.0027432435
126,0.0027423985
127,0.002741545
128,0.0027406476
129,0.0027398511
130,0.0027390635
131,0.0027382483
132,0.002737441
133,0.0027364772
134,0.0027356674
135,0.002745495
136,0.002737648
137,0.0027312415
138,0.0027288343
139,0.0027299356
140,0.0027310294
141,0.0027299407
142,0.002729204
143,0.0027235185
144,0.002727732
145,0.0027272059
146,0.0027263744
147,0.0027255996
148,0.0027247723
149,0.0027240545
150,0.0027232282
151,0.0027224869
152,0.0027216391
153,0.0026584147
154,0.0027187462
155,0.0027193194
156,0.0027183315
157,0.0027174628
158,0.002716508
159,0.0026795936
160,0.0027137087
161,0.0027143052
162,0.0027134465
163,0.0027126714
164,0.0027117943
165,0.0027194347
166,0.0027104067
167,0.0027095717
168,0.0027087613
169,0.0027043433
170,0.0029282756
171,0.0026658291
172,0.0026688876
173,0.0026772087
174,0.002658223
175,0.0026562712
176,0.0026552465
177,0.0026540633
178,0.002653225
179,0.0026700045
180,0.0026531038
181,0.0026688443
182,0.0026522619
183,0.0026681258
184,0.002669024
185,0.002629476
186,0.0026270358
187,0.0026491585
188,0.0026916566
189,0.00266882
190,0.0026682368
191,0.0026494258
192,0.0026478115
193,0.0026470828
194,0.0026465028
195,0.0026459666
196,0.00264553
197,0.002644964
198,0.0026644461
199,0.002652738
200,0.0026513506
201,0.002652513
202,0.0026594477
203,0.0028724573
204,0.0027403096
205,0.0027131336
206,0.0027014804
207,0.0026954834
208,0.002693528
209,0.0026896072
210,0.002688435
211,0.0026867623
212,0.0026737151
213,0.002660317
214,0.002653667
215,0.002648184
216,0.0026440113
217,0.00286984
218,0.0026531622
219,0.0026353188
220,0.0026324946
221,0.0026310317
222,0.0026304205
223,0.0026294468
224,0.0026287963
225,0.0026278112
226,0.0026274684
227,0.0026262482
228,0.0026256018
229,0.0026250484
230,0.0026244244
231,0.0026238
232,0.0026232614
233,0.0026227213
234,0.0026221324
235,0.0026216963
236,0.0026210567
237,0.0026208581
238,0.0026249532
239,0.0026245178
240,0.0026486923
241,0.0026661297
242,0.0026429307
243,0.0027461315
244,0.0027083296
245,0.0026884316
246,0.0026776523
247,0.002676546
248,0.0026769207
249,0.0026747386
250,0.0026698501
251,0.0026844104
252,0.0026785485
253,0.0026731472
254,0.0026720744
255,0.002671631
256,0.0026710762
257,0.0026705733
258,0.002670091
259,0.0026695763
260,0.0026691542
261,0.0026688226
262,0.0026672995
263,0.002662889
264,0.0026603474
265,0.0026454933
266,0.0026391987
267,0.0026364557
268,0.0026343337
269,0.0026311034
270,0.002630032
271,0.0026281187
272,0.0026314503
273,0.0026254193
274,0.0026226786
275,0.0026212984
276,0.0026201385
277,0.0026190598
278,0.0026181513
279,0.0026175017
280,0.00261689
281,0.0026163368
282,0.0026158744
283,0.0026154346
284,0.0026151158
285,0.0026147878
286,0.002614357
287,0.0026140823
288,0.0026136504
289,0.0026136218
290,0.0026132837
291,0.0026129454
292,0.0026126406
293,0.0026124986
294,0.0026121847
295,0.0026119144
296,0.0027091273
297,0.0028074104
298,0.002682627
299,0.0026775713
300,0.0026790465
301,0.002672022
302,0.0026707822
303,0.002658735
304,0.002657124
305,0.0026562687
306,0.0026556347
307,0.0026551164
308,0.0026546621
309,0.0026542554
310,0.0026538551
311,0.0026535352
312,0.0026531932
313,0.0026531944
314,0.002652825
315,0.0026532274
316,0.002652506
317,0.002651795
318,0.0026511035
319,0.002649923
320,0.0026502647
321,0.0026500998
322,0.0026497596
323,0.002649454
324,0.0026491135
325,0.0026488286
326,0.0026483792
327,0.0026479457
328,0.0026475638
329,0.002647182
330,0.0026469107
331,0.0026455708
332,0.0026467815
333,0.002655253
334,0.002649617
335,0.002646074
336,0.0026453466
337,0.002645002
338,0.0026481864
339,0.002657834
340,0.0026725854
341,0.0026687954
342,0.002667536
343,0.0026665945
344,0.002665071
345,0.0026644699
346,0.0026645553
347,0.0026641593
348,0.0026637584
349,0.002654899
350,0.0026458888
351,0.0026528738
352,0.0026518516
353,0.002653799
354,0.002658065
355,0.0026435785
356,0.0026426057
357,0.002642005
358,0.0026415505
359,0.002640966
360,0.0026401707
361,0.0026383316
362,0.0026336112
363,0.00264155
364,0.0026362569
365,0.0026380443
366,0.002637224
367,0.0026365218
368,0.002636037
369,0.0026344953
370,0.0026384913
371,0.0026521138
372,0.002636601
373,0.0026363255
374,0.002636007
375,0.0026464749
376,0.002654006
377,0.002653965
378,0.0026493545
379,0.0026482749
380,0.002647426
381,0.0026463186
382,0.002645083
383,0.0026433438
384,0.002641191
385,0.0026364287
386,0.00263934
387,0.0026737254
388,0.0026366694
389,0.002636194
390,0.0026352874
391,0.0026346676
392,0.0026341488
393,0.0026336564
394,0.00263309
