,loss
0,0.050356686
1,0.0056792554
2,0.0046100523
3,0.004140604
4,0.0037781738
5,0.0034640997
6,0.0031845572
7,0.0028882106
8,0.002537514
9,0.0023371973
10,0.0022150944
11,0.0021213891
12,0.0020475655
13,0.0019908268
14,0.0019467206
15,0.0019125695
16,0.0018913681
17,0.0018742378
18,0.0018653139
19,0.0018596537
20,0.001866311
21,0.0018793641
22,0.0018675668
23,0.0018639257
24,0.0018459299
25,0.0018332595
26,0.0018240903
27,0.0018081784
28,0.0017952982
29,0.001796465
30,0.0017840862
31,0.0017703196
32,0.0017812627
33,0.0017176431
34,0.0017357179
35,0.0017937995
36,0.0017140498
37,0.0017646131
38,0.0016785373
39,0.0017148124
40,0.001682009
41,0.0016642273
42,0.001625038
43,0.0016420502
44,0.0016647513
45,0.0016375683
46,0.0016836551
47,0.0016728691
48,0.0016205797
49,0.0015859794
50,0.001637146
51,0.0016167813
52,0.0015873585
53,0.0015786248
54,0.0015652108
55,0.0015693805
56,0.0015234536
57,0.0015163413
58,0.0015437645
59,0.0015370798
60,0.0015364668
61,0.0015176178
62,0.0014905573
63,0.0015090042
64,0.0014896
65,0.0015065763
66,0.001493128
67,0.0014840435
68,0.0015073796
69,0.001515539
70,0.0014587557
71,0.0014481413
72,0.0014772185
73,0.001501096
74,0.0014566111
75,0.0014560592
76,0.0014845858
77,0.0014828405
78,0.001477861
79,0.0014935955
80,0.0014516636
81,0.0014678556
82,0.0014787592
83,0.0014597178
84,0.0014608115
85,0.0014507067
86,0.0014401377
87,0.0014176832
88,0.0014125187
89,0.0013989295
90,0.0013988087
91,0.001404606
92,0.0014011617
93,0.0013957708
94,0.0013765955
95,0.0013497073
96,0.0013518584
97,0.0013552923
98,0.001351614
99,0.0013533885
100,0.0013633042
101,0.0013648992
102,0.0013609052
103,0.0013256343
104,0.0013184653
105,0.0013243019
106,0.0013016139
107,0.0012982171
108,0.0013002211
109,0.001318592
110,0.0013384306
111,0.0013274193
112,0.0013166039
113,0.0013306901
114,0.0013247527
115,0.0013428197
116,0.0013359651
117,0.0013156827
118,0.0013237987
119,0.0012847619
120,0.0012869927
121,0.0012639882
122,0.0012642742
123,0.0012656946
124,0.0013094023
125,0.001271126
126,0.001257629
127,0.0012878128
128,0.0012815405
129,0.0012655158
130,0.001249182
131,0.0012482314
132,0.0012075633
133,0.0012183143
134,0.0012061946
135,0.0011923438
136,0.0011757669
137,0.001179908
138,0.0012148335
139,0.0011612907
140,0.0011836112
141,0.0011588058
142,0.0011726588
143,0.0011823886
144,0.0011109331
145,0.0011220868
146,0.0011195106
147,0.0010979716
148,0.0010946324
149,0.0010914812
150,0.0010879326
151,0.0010910073
152,0.0010807007
153,0.0010930296
154,0.0010932046
155,0.0010640011
156,0.0010708224
157,0.0010200028
158,0.0010349703
159,0.0010054501
160,0.001039643
161,0.0010089487
162,0.0010272553
163,0.001028532
164,0.0009720422
165,0.0009403481
166,0.00094136375
167,0.0009512912
168,0.0009508919
169,0.00094956974
170,0.0012252474
171,0.0010546299
172,0.0009822738
173,0.0009245514
174,0.0009154243
