,loss
0,2.592438
1,0.056137264
2,0.05117453
3,0.035684433
4,0.033893175
5,0.03089458
6,0.028028848
7,0.036187414
8,0.025712462
9,0.023489928
10,0.023076968
11,0.022556541
12,0.022371614
13,0.022340037
14,0.02233051
15,0.022155557
16,0.022211587
17,0.02204258
18,0.021612005
19,0.021397242
20,0.021101344
21,0.020966314
22,0.020409584
23,0.020956159
24,0.020004861
25,0.019300504
26,0.01854528
27,0.018424151
28,0.017149443
29,0.01823866
30,0.01851431
31,0.01949903
32,0.017876022
33,0.01871899
34,0.019821469
35,0.018724123
36,0.019146612
37,0.018517032
38,0.018204829
39,0.017314002
40,0.017864367
41,0.015392885
42,0.015606761
43,0.017699432
44,0.015884414
45,0.017645737
46,0.015967714
47,0.016698325
48,0.015003706
49,0.015814992
50,0.015031145
51,0.014585376
52,0.016297443
53,0.016936006
54,0.014416821
55,0.015459487
56,0.014242257
57,0.013121876
58,0.012669952
59,0.01179195
60,0.0111162355
61,0.014209267
62,0.012581304
63,0.0121802315
64,0.012371585
65,0.013972737
66,0.014237856
67,0.012450323
68,0.013742429
69,0.014488018
70,0.011886211
71,0.013243778
72,0.014467874
73,0.014686391
74,0.013029605
75,0.01208495
76,0.012384318
77,0.012383876
78,0.012294697
79,0.012740135
80,0.013711388
81,0.013859535
82,0.014593839
83,0.014696966
84,0.014509709
85,0.014125747
86,0.014963565
87,0.014824643
88,0.013710079
89,0.015378909
90,0.016526105
91,0.013736358
92,0.017619165
93,0.01439243
94,0.015523947
95,0.0142256245
96,0.015149515
97,0.01722618
98,0.014241592
99,0.014219137
100,0.014678464
101,0.018229913
102,0.014251569
103,0.015244952
104,0.014120636
105,0.013291519
106,0.013075939
107,0.013557849
108,0.014207388
109,0.013247224
110,0.01759243
111,0.014009616
112,0.012640634
113,0.014238215
114,0.013010305
115,0.0158242
116,0.016974293
117,0.021069065
118,0.019214362
119,0.016700966
120,0.015084228
121,0.01453412
122,0.018366609
123,0.01861181
124,0.015431673
125,0.01634127
126,0.016748767
127,0.019983733
128,0.016183477
129,0.015438417
130,0.0148881
131,0.017533025
132,0.015151597
133,0.015834253
134,0.013885287
135,0.016204845
136,0.014457992
137,0.015714888
138,0.013566692
139,0.012421478
140,0.012312094
141,0.012964908
142,0.011185404
143,0.013161494
144,0.014567142
145,0.016047427
146,0.017094638
147,0.019630006
148,0.019863306
149,0.016087664
150,0.014380843
151,0.017218798
152,0.019544711
